Errors,Epochs,Denominator,Algorithm,Parameters,Clusters
0.2363505687155117,24,compression,LAIS,"(0.25, 1)",3
0.29336917862504813,24,compression,LAIS,"(0.25, 1)",21
0.2399450454888022,24,compression,LAIS,"(0.25, 1)",50
0.1466405960292167,24,compression,LAIS,"(0.25, 1)",200
0.3303555461291404,24,compression,LAIS,"(0.25, 1)",3
0.07706003219224758,24,compression,LAIS,"(0.25, 1)",21
0.24579958036843935,24,compression,LAIS,"(0.25, 1)",50
0.2723648463112992,24,compression,LAIS,"(0.25, 1)",200
0.14354241947436633,24,compression,LAIS,"(0.25, 1)",3
0.15902192227515188,24,compression,LAIS,"(0.25, 1)",21
0.21014927987742862,24,compression,LAIS,"(0.25, 1)",50
0.14286724119695937,24,compression,LAIS,"(0.25, 1)",200
0.11529912150030426,24,compression,LAIS,"(0.25, 1)",3
0.09672846542620946,24,compression,LAIS,"(0.25, 1)",21
0.21924107243056817,24,compression,LAIS,"(0.25, 1)",50
0.27634542099497256,24,compression,LAIS,"(0.25, 1)",200
0.13254105812740571,24,compression,LAIS,"(0.25, 1)",3
0.07983823690496691,24,compression,LAIS,"(0.25, 1)",21
0.11451637752166013,24,compression,LAIS,"(0.25, 1)",50
0.20518893768080346,24,compression,LAIS,"(0.25, 1)",200
0.0422095184159109,24,compression,LAIS,"(0.25, 1)",3
0.16608815187485987,24,compression,LAIS,"(0.25, 1)",21
0.07061235949895917,24,compression,LAIS,"(0.25, 1)",50
0.14904484455357717,24,compression,LAIS,"(0.25, 1)",200
0.09802596364546208,24,compression,LAIS,"(0.25, 1)",3
0.2159070362438741,24,compression,LAIS,"(0.25, 1)",21
0.1258110862642246,24,compression,LAIS,"(0.25, 1)",50
0.12056069454582899,24,compression,LAIS,"(0.25, 1)",200
0.16662915447910961,24,compression,LAIS,"(0.25, 1)",3
0.2114640048184417,24,compression,LAIS,"(0.25, 1)",21
0.14836687346414226,24,compression,LAIS,"(0.25, 1)",50
0.17996574050701133,24,compression,LAIS,"(0.25, 1)",200
0.2167380283616947,24,compression,LAIS,"(0.25, 1)",3
0.13066322327063143,24,compression,LAIS,"(0.25, 1)",21
0.2212390248980891,24,compression,LAIS,"(0.25, 1)",50
0.0719489353435955,24,compression,LAIS,"(0.25, 1)",200
0.14393858529100942,24,compression,LAIS,"(0.25, 1)",3
0.22669673459979117,24,compression,LAIS,"(0.25, 1)",21
0.2483324468456664,24,compression,LAIS,"(0.25, 1)",50
0.1524803604945016,24,compression,LAIS,"(0.25, 1)",200
0.18097093271479192,24,compression,LAIS,"(0.25, 1)",3
0.12538623196619506,24,compression,LAIS,"(0.25, 1)",21
0.23929629207981531,24,compression,LAIS,"(0.25, 1)",50
0.18715057528199044,24,compression,LAIS,"(0.25, 1)",200
0.20705057843382751,24,compression,LAIS,"(0.25, 1)",3
0.12222163459010141,24,compression,LAIS,"(0.25, 1)",21
0.1387119632708742,24,compression,LAIS,"(0.25, 1)",50
0.11934501310131065,24,compression,LAIS,"(0.25, 1)",200
0.21160500581129052,24,compression,LAIS,"(0.25, 1)",3
0.08088826764471876,24,compression,LAIS,"(0.25, 1)",21
0.21093648292477124,24,compression,LAIS,"(0.25, 1)",50
0.19291990987781682,24,compression,LAIS,"(0.25, 1)",200
0.11606758546098994,24,compression,LAIS,"(0.25, 1)",3
0.064069293368695,24,compression,LAIS,"(0.25, 1)",21
0.13824081238244043,24,compression,LAIS,"(0.25, 1)",50
0.14514224451987853,24,compression,LAIS,"(0.25, 1)",200
0.1448367056072496,24,compression,LAIS,"(0.25, 1)",3
0.2711614209960972,24,compression,LAIS,"(0.25, 1)",21
0.19456488144899892,24,compression,LAIS,"(0.25, 1)",50
0.4746911060696416,24,compression,LAIS,"(0.25, 1)",200
0.12811035549337452,24,compression,LAIS,"(0.25, 1)",3
0.18355954149893108,24,compression,LAIS,"(0.25, 1)",21
0.04815058525478708,24,compression,LAIS,"(0.25, 1)",50
0.2589671385713058,24,compression,LAIS,"(0.25, 1)",200
0.08666954475005814,24,compression,LAIS,"(0.25, 1)",3
0.20187625366644085,24,compression,LAIS,"(0.25, 1)",21
0.21297519916170504,24,compression,LAIS,"(0.25, 1)",50
0.19589817183787975,24,compression,LAIS,"(0.25, 1)",200
0.21828002951178482,24,compression,LAIS,"(0.25, 1)",3
0.14427035616827683,24,compression,LAIS,"(0.25, 1)",21
0.25061278832977774,24,compression,LAIS,"(0.25, 1)",50
0.18806751219689377,24,compression,LAIS,"(0.25, 1)",200
0.11052549180900569,24,compression,LAIS,"(0.25, 1)",3
0.36775098179384386,24,compression,LAIS,"(0.25, 1)",21
0.15691283996937236,24,compression,LAIS,"(0.25, 1)",50
0.20510676086450266,24,compression,LAIS,"(0.25, 1)",200
0.134906931831493,24,compression,LAIS,"(0.25, 1)",3
0.07933473918382994,24,compression,LAIS,"(0.25, 1)",21
0.3152039234863094,24,compression,LAIS,"(0.25, 1)",50
0.0807346056959933,24,compression,LAIS,"(0.25, 1)",200
0.20934989761521966,24,compression,LAIS,"(0.25, 1)",3
0.1367249844065101,24,compression,LAIS,"(0.25, 1)",21
0.11212342552437557,24,compression,LAIS,"(0.25, 1)",50
0.18876131092346365,24,compression,LAIS,"(0.25, 1)",200
0.22558018594886908,24,compression,LAIS,"(0.25, 1)",3
0.18437844871186596,24,compression,LAIS,"(0.25, 1)",21
0.15960388118751742,24,compression,LAIS,"(0.25, 1)",50
0.2053181542557565,24,compression,LAIS,"(0.25, 1)",200
0.22343962016692792,24,compression,LAIS,"(0.25, 1)",3
0.21122669296680377,24,compression,LAIS,"(0.25, 1)",21
0.15485326288937631,24,compression,LAIS,"(0.25, 1)",50
0.24692117859230192,24,compression,LAIS,"(0.25, 1)",200
0.14635180906794998,24,compression,LAIS,"(0.25, 1)",3
0.1305833057392281,24,compression,LAIS,"(0.25, 1)",21
0.06566852540763128,24,compression,LAIS,"(0.25, 1)",50
0.36095372949753346,24,compression,LAIS,"(0.25, 1)",200
0.22918145617360688,24,compression,LAIS,"(0.25, 1)",3
0.057806664980568634,24,compression,LAIS,"(0.25, 1)",21
0.2151780897566035,24,compression,LAIS,"(0.25, 1)",50
0.10909320174399255,24,compression,LAIS,"(0.25, 1)",200
0.13926926455721653,24,compression,LAIS,"(0.25, 1)",3
0.15701268458981082,24,compression,LAIS,"(0.25, 1)",21
