,Errors,Epochs,Denominator,Algorithm,Parameters
0,1.0289008900384249,400,-,HAM,"(0.25, 1)"
1,1.249828821767979,400,-,HAM,"(0.5, 1)"
2,0.2916788398018608,400,-,HAM,"(1, 3)"
3,0.7193769073182001,400,-,HAM,"(1, 5)"
4,0.5218326283382984,200,spatial,LAIS,"(0.25, 1)"
5,0.5286388288538442,200,-,HAM,"(0.25, 1)"
6,1.1667714281833084,200,spatial,LAIS,"(0.5, 1)"
7,2.014586268102529,200,-,HAM,"(0.5, 1)"
8,0.6055015854531243,200,spatial,LAIS,"(1, 3)"
9,0.6192917085753523,200,-,HAM,"(1, 3)"
10,0.9150756580838476,200,spatial,LAIS,"(1, 5)"
11,1.6227857207121563,200,-,HAM,"(1, 5)"
12,1.9329953362781345,200,temporal,LAIS,"(0.25, 1)"
13,0.6773584539111892,200,temporal,LAIS,"(0.5, 1)"
14,0.13585652304563575,200,temporal,LAIS,"(1, 3)"
15,0.17195989410281098,200,temporal,LAIS,"(1, 5)"
16,0.1020419335368208,200,all,LAIS,"(0.25, 1)"
17,0.2668076077085208,200,all,LAIS,"(0.5, 1)"
18,0.041036178952779286,200,all,LAIS,"(1, 3)"
19,0.18377554529539825,200,all,LAIS,"(1, 5)"
20,0.6053743323883426,400,-,HAM,"(0.25, 1)"
21,0.3670301186001767,400,-,HAM,"(0.5, 1)"
22,0.18305653185127452,400,-,HAM,"(1, 3)"
23,0.3600131204280788,400,-,HAM,"(1, 5)"
24,0.4175381487969753,200,spatial,LAIS,"(0.25, 1)"
25,0.8227765124188352,200,-,HAM,"(0.25, 1)"
26,0.4101158131080221,200,spatial,LAIS,"(0.5, 1)"
27,0.18683556099442825,200,-,HAM,"(0.5, 1)"
28,0.4862839318934365,200,spatial,LAIS,"(1, 3)"
29,0.500803472998406,200,-,HAM,"(1, 3)"
30,0.33137003138546434,200,spatial,LAIS,"(1, 5)"
31,0.4082634111015562,200,-,HAM,"(1, 5)"
32,1.4471554700121865,200,temporal,LAIS,"(0.25, 1)"
33,0.4854677505860837,200,temporal,LAIS,"(0.5, 1)"
34,0.11898883022954215,200,temporal,LAIS,"(1, 3)"
35,0.30096915422132664,200,temporal,LAIS,"(1, 5)"
36,0.14151426725060662,200,all,LAIS,"(0.25, 1)"
37,0.12341230443920205,200,all,LAIS,"(0.5, 1)"
38,0.04471845373625705,200,all,LAIS,"(1, 3)"
39,0.2721949024489864,200,all,LAIS,"(1, 5)"
40,0.736047859652818,400,-,HAM,"(0.25, 1)"
41,1.4959425716624544,400,-,HAM,"(0.5, 1)"
42,0.23931701067156924,400,-,HAM,"(1, 3)"
43,0.3804841588516824,400,-,HAM,"(1, 5)"
44,0.3249547434926859,200,spatial,LAIS,"(0.25, 1)"
45,1.2709059913079364,200,-,HAM,"(0.25, 1)"
46,0.4723532732647046,200,spatial,LAIS,"(0.5, 1)"
47,0.864728875257071,200,-,HAM,"(0.5, 1)"
48,0.4538996572164778,200,spatial,LAIS,"(1, 3)"
49,0.34618927376990016,200,-,HAM,"(1, 3)"
