,Errors,Epochs,Denominator,Algorithm,Parameters
0,1.0360248676326171,150,-,HAM,"(0.25, 1)"
1,1.5047350850484105,150,-,HAM,"(0.5, 1)"
2,0.2765717392975919,150,-,HAM,"(1, 3)"
3,1.7467807353351994,150,-,HAM,"(1, 5)"
4,0.4939725234505116,75,spatial,LAIS,"(0.25, 1)"
5,1.3298292842034891,75,-,HAM,"(0.25, 1)"
6,0.12378466786512865,75,spatial,LAIS,"(0.5, 1)"
7,2.291507830647518,75,-,HAM,"(0.5, 1)"
8,0.27916645089739794,75,spatial,LAIS,"(1, 3)"
9,0.40406452636960777,75,-,HAM,"(1, 3)"
10,0.26762268886726986,75,spatial,LAIS,"(1, 5)"
11,0.4670933429809188,75,-,HAM,"(1, 5)"
12,0.7079420010590015,75,temporal,LAIS,"(0.25, 1)"
13,0.5044299228332347,75,temporal,LAIS,"(0.5, 1)"
14,0.2303323253114597,75,temporal,LAIS,"(1, 3)"
15,0.6580517150483273,75,temporal,LAIS,"(1, 5)"
16,0.1954786886163466,75,all,LAIS,"(0.25, 1)"
17,0.1442822315431006,75,all,LAIS,"(0.5, 1)"
18,0.08309867500559971,75,all,LAIS,"(1, 3)"
19,0.10833577779755088,75,all,LAIS,"(1, 5)"
20,0.9605497232851404,150,-,HAM,"(0.25, 1)"
21,0.4507885082633045,150,-,HAM,"(0.5, 1)"
22,0.23977767889349705,150,-,HAM,"(1, 3)"
23,2.4768289422232828,150,-,HAM,"(1, 5)"
24,0.4759421499257978,75,spatial,LAIS,"(0.25, 1)"
25,1.7109584523284618,75,-,HAM,"(0.25, 1)"
26,0.2257469940746763,75,spatial,LAIS,"(0.5, 1)"
27,1.8152613628777796,75,-,HAM,"(0.5, 1)"
28,0.2868385893440851,75,spatial,LAIS,"(1, 3)"
29,0.530475501728283,75,-,HAM,"(1, 3)"
30,0.35762471830326825,75,spatial,LAIS,"(1, 5)"
31,6.997594101817817,75,-,HAM,"(1, 5)"
32,0.8248766951169586,75,temporal,LAIS,"(0.25, 1)"
33,0.7392279580143832,75,temporal,LAIS,"(0.5, 1)"
34,0.32391435790958834,75,temporal,LAIS,"(1, 3)"
35,0.7965552156104507,75,temporal,LAIS,"(1, 5)"
36,0.08303598163611581,75,all,LAIS,"(0.25, 1)"
37,0.07963497944673725,75,all,LAIS,"(0.5, 1)"
38,0.07377643358182077,75,all,LAIS,"(1, 3)"
39,0.10548747771023673,75,all,LAIS,"(1, 5)"
40,1.2405478548427749,150,-,HAM,"(0.25, 1)"
41,0.6099338236760802,150,-,HAM,"(0.5, 1)"
42,0.2992790627435549,150,-,HAM,"(1, 3)"
43,2.092933853318769,150,-,HAM,"(1, 5)"
44,0.10142052714909408,75,spatial,LAIS,"(0.25, 1)"
45,2.53086426388941,75,-,HAM,"(0.25, 1)"
46,1.0915604526146452,75,spatial,LAIS,"(0.5, 1)"
47,1.4398665859521549,75,-,HAM,"(0.5, 1)"
48,0.31258507136819297,75,spatial,LAIS,"(1, 3)"
49,0.3174650199847925,75,-,HAM,"(1, 3)"
50,0.3480226240833143,75,spatial,LAIS,"(1, 5)"
51,8.602207583464075,75,-,HAM,"(1, 5)"
52,0.483906859720647,75,temporal,LAIS,"(0.25, 1)"
53,0.811454695442675,75,temporal,LAIS,"(0.5, 1)"
54,0.6359357740059085,75,temporal,LAIS,"(1, 3)"
55,1.4136393885562366,75,temporal,LAIS,"(1, 5)"
56,0.06991822205366911,75,all,LAIS,"(0.25, 1)"
