,Errors,Epochs,Denominator,Algorithm,Parameters
0,1.383593831545292,600,-,HAM,"(0.25, 1)"
1,1.7730603353695902,600,-,HAM,"(0.5, 1)"
2,0.28136663245674065,600,-,HAM,"(1, 3)"
3,0.3241848122913084,600,-,HAM,"(1, 5)"
4,0.8287258622490709,300,spatial,LAIS,"(0.25, 1)"
5,0.8694656639844075,300,-,HAM,"(0.25, 1)"
6,0.3691258851873507,300,spatial,LAIS,"(0.5, 1)"
7,0.8655236403172726,300,-,HAM,"(0.5, 1)"
8,0.8432716783605103,300,spatial,LAIS,"(1, 3)"
9,0.3650186355958308,300,-,HAM,"(1, 3)"
10,0.5579429436180128,300,spatial,LAIS,"(1, 5)"
11,0.4930725548976058,300,-,HAM,"(1, 5)"
12,0.2922970998203557,300,temporal,LAIS,"(0.25, 1)"
13,0.7312188811938718,300,temporal,LAIS,"(0.5, 1)"
14,0.09569848985767586,300,temporal,LAIS,"(1, 3)"
15,0.4220736993005619,300,temporal,LAIS,"(1, 5)"
16,0.09355737992244358,300,all,LAIS,"(0.25, 1)"
17,0.178144250478841,300,all,LAIS,"(0.5, 1)"
18,0.08722863146059323,300,all,LAIS,"(1, 3)"
19,0.07972000941461102,300,all,LAIS,"(1, 5)"
20,0.9094129083278852,600,-,HAM,"(0.25, 1)"
21,1.4725535657524076,600,-,HAM,"(0.5, 1)"
22,0.26204470900142585,600,-,HAM,"(1, 3)"
23,0.10176905547056043,600,-,HAM,"(1, 5)"
24,0.7056149283085603,300,spatial,LAIS,"(0.25, 1)"
25,1.2898202617242898,300,-,HAM,"(0.25, 1)"
26,0.9065171939723886,300,spatial,LAIS,"(0.5, 1)"
27,0.6833401354539287,300,-,HAM,"(0.5, 1)"
28,0.5254080002216421,300,spatial,LAIS,"(1, 3)"
29,0.2343899038974258,300,-,HAM,"(1, 3)"
30,0.8941102192613375,300,spatial,LAIS,"(1, 5)"
31,0.4012176493430454,300,-,HAM,"(1, 5)"
32,2.649125038910607,300,temporal,LAIS,"(0.25, 1)"
33,2.0529667157792284,300,temporal,LAIS,"(0.5, 1)"
34,0.14799775267492846,300,temporal,LAIS,"(1, 3)"
35,0.0956242945375826,300,temporal,LAIS,"(1, 5)"
36,0.08097726100970581,300,all,LAIS,"(0.25, 1)"
37,0.1646109653857851,300,all,LAIS,"(0.5, 1)"
38,0.1005701496347589,300,all,LAIS,"(1, 3)"
39,0.1411465207968567,300,all,LAIS,"(1, 5)"
40,0.3892319307340418,600,-,HAM,"(0.25, 1)"
41,0.5349536658657413,600,-,HAM,"(0.5, 1)"
42,0.2687364203640227,600,-,HAM,"(1, 3)"
43,0.09898786380646332,600,-,HAM,"(1, 5)"
44,0.3975450179926073,300,spatial,LAIS,"(0.25, 1)"
45,1.574045953189266,300,-,HAM,"(0.25, 1)"
46,1.1377171517677311,300,spatial,LAIS,"(0.5, 1)"
47,1.1775491847311608,300,-,HAM,"(0.5, 1)"
48,0.4640192688635072,300,spatial,LAIS,"(1, 3)"
49,0.4641093362073468,300,-,HAM,"(1, 3)"
50,0.6190333782551751,300,spatial,LAIS,"(1, 5)"
51,0.17188897517275376,300,-,HAM,"(1, 5)"
52,1.1306592794087131,300,temporal,LAIS,"(0.25, 1)"
53,0.3540271615462613,300,temporal,LAIS,"(0.5, 1)"
54,0.07493032329446693,300,temporal,LAIS,"(1, 3)"
55,0.23243774664869946,300,temporal,LAIS,"(1, 5)"
56,0.06535394991144075,300,all,LAIS,"(0.25, 1)"
57,0.07582911227096542,300,all,LAIS,"(0.5, 1)"
58,0.14907494616776246,300,all,LAIS,"(1, 3)"
59,0.10159812159142376,300,all,LAIS,"(1, 5)"
60,0.4188498868358628,600,-,HAM,"(0.25, 1)"
61,0.904874497130075,600,-,HAM,"(0.5, 1)"
62,0.1957978532865869,600,-,HAM,"(1, 3)"
63,0.4244028211824927,600,-,HAM,"(1, 5)"
64,1.6626151388043109,300,spatial,LAIS,"(0.25, 1)"
65,0.7629048676840268,300,-,HAM,"(0.25, 1)"
66,0.3720554088573333,300,spatial,LAIS,"(0.5, 1)"
67,1.2961321262284236,300,-,HAM,"(0.5, 1)"
68,0.630949359037242,300,spatial,LAIS,"(1, 3)"
69,0.2314614825096474,300,-,HAM,"(1, 3)"
70,0.3956076592364093,300,spatial,LAIS,"(1, 5)"
71,0.3831781857283499,300,-,HAM,"(1, 5)"
72,0.7007761484455375,300,temporal,LAIS,"(0.25, 1)"
73,1.1411999754644375,300,temporal,LAIS,"(0.5, 1)"
74,0.06294865749934618,300,temporal,LAIS,"(1, 3)"
75,0.19033489702117296,300,temporal,LAIS,"(1, 5)"
76,0.12363214999299785,300,all,LAIS,"(0.25, 1)"
77,0.06017934719904872,300,all,LAIS,"(0.5, 1)"
78,0.1439538423333127,300,all,LAIS,"(1, 3)"
79,0.14282368179907282,300,all,LAIS,"(1, 5)"
80,0.9592637970975836,600,-,HAM,"(0.25, 1)"
81,0.9990337895894594,600,-,HAM,"(0.5, 1)"
82,0.257210119536848,600,-,HAM,"(1, 3)"
83,0.24117739875084696,600,-,HAM,"(1, 5)"
84,0.5699867140962243,300,spatial,LAIS,"(0.25, 1)"
85,0.8237595600186273,300,-,HAM,"(0.25, 1)"
86,0.9391387055924768,300,spatial,LAIS,"(0.5, 1)"
87,1.006396922497942,300,-,HAM,"(0.5, 1)"
88,0.45403994661351504,300,spatial,LAIS,"(1, 3)"
89,0.2832391388872496,300,-,HAM,"(1, 3)"
90,1.906296834518956,300,spatial,LAIS,"(1, 5)"
91,4.8717451757286385,300,-,HAM,"(1, 5)"
92,1.0765430364783333,300,temporal,LAIS,"(0.25, 1)"
93,0.478034244987742,300,temporal,LAIS,"(0.5, 1)"
94,0.1166503302929318,300,temporal,LAIS,"(1, 3)"
95,0.14386944455406858,300,temporal,LAIS,"(1, 5)"
96,0.9165112913324196,300,all,LAIS,"(0.25, 1)"
97,0.1449120761605558,300,all,LAIS,"(0.5, 1)"
98,0.169444214842211,300,all,LAIS,"(1, 3)"
99,0.1326205358940598,300,all,LAIS,"(1, 5)"
100,0.8716858947280655,600,-,HAM,"(0.25, 1)"
101,1.3420901981447202,600,-,HAM,"(0.5, 1)"
102,0.18778653649555216,600,-,HAM,"(1, 3)"
103,0.3597632631815381,600,-,HAM,"(1, 5)"
104,0.8889056808876156,300,spatial,LAIS,"(0.25, 1)"
105,0.5127814361507521,300,-,HAM,"(0.25, 1)"
106,0.8553214899068218,300,spatial,LAIS,"(0.5, 1)"
107,0.6120466173829511,300,-,HAM,"(0.5, 1)"
108,1.0968436637840622,300,spatial,LAIS,"(1, 3)"
109,0.521110766908533,300,-,HAM,"(1, 3)"
110,0.6212693413487309,300,spatial,LAIS,"(1, 5)"
111,0.21835173451129108,300,-,HAM,"(1, 5)"
112,0.445667925894206,300,temporal,LAIS,"(0.25, 1)"
113,0.6494700058915248,300,temporal,LAIS,"(0.5, 1)"
114,0.08929852660345619,300,temporal,LAIS,"(1, 3)"
115,0.32771968681902514,300,temporal,LAIS,"(1, 5)"
116,0.18322622575071326,300,all,LAIS,"(0.25, 1)"
117,0.07581998038682647,300,all,LAIS,"(0.5, 1)"
118,0.06661160780162677,300,all,LAIS,"(1, 3)"
119,0.060789610327822076,300,all,LAIS,"(1, 5)"
120,0.8896626807044676,600,-,HAM,"(0.25, 1)"
121,1.090881264915348,600,-,HAM,"(0.5, 1)"
122,0.7864606330615761,600,-,HAM,"(1, 3)"
123,0.749036201879573,600,-,HAM,"(1, 5)"
124,0.584644203169517,300,spatial,LAIS,"(0.25, 1)"
125,0.5827754120834955,300,-,HAM,"(0.25, 1)"
126,1.0834673534131485,300,spatial,LAIS,"(0.5, 1)"
127,2.4262855517245487,300,-,HAM,"(0.5, 1)"
128,0.6122380135078576,300,spatial,LAIS,"(1, 3)"
129,0.1944949781759015,300,-,HAM,"(1, 3)"
130,0.8540352805460492,300,spatial,LAIS,"(1, 5)"
131,3.1809159619726066,300,-,HAM,"(1, 5)"
132,0.4678404022249131,300,temporal,LAIS,"(0.25, 1)"
133,0.7162479171666459,300,temporal,LAIS,"(0.5, 1)"
134,0.20919556445431012,300,temporal,LAIS,"(1, 3)"
135,0.08888149227947446,300,temporal,LAIS,"(1, 5)"
136,0.13015568943882613,300,all,LAIS,"(0.25, 1)"
137,0.3319098962834159,300,all,LAIS,"(0.5, 1)"
138,0.13282468239770426,300,all,LAIS,"(1, 3)"
139,0.09331882067492647,300,all,LAIS,"(1, 5)"
140,0.8372442677386653,600,-,HAM,"(0.25, 1)"
141,0.6138463001933243,600,-,HAM,"(0.5, 1)"
142,0.21279870662572886,600,-,HAM,"(1, 3)"
143,0.15611142089171182,600,-,HAM,"(1, 5)"
144,0.6398683758841229,300,spatial,LAIS,"(0.25, 1)"
145,1.1819440581700875,300,-,HAM,"(0.25, 1)"
146,0.2833201793345844,300,spatial,LAIS,"(0.5, 1)"
147,0.4186911384448641,300,-,HAM,"(0.5, 1)"
148,0.5301612063753237,300,spatial,LAIS,"(1, 3)"
149,0.2506764780797425,300,-,HAM,"(1, 3)"
150,0.3710888237735826,300,spatial,LAIS,"(1, 5)"
151,0.3996681580480165,300,-,HAM,"(1, 5)"
152,1.359981167943788,300,temporal,LAIS,"(0.25, 1)"
153,2.2887106037074085,300,temporal,LAIS,"(0.5, 1)"
154,1.3869498833742435,300,temporal,LAIS,"(1, 3)"
155,0.1258805368906944,300,temporal,LAIS,"(1, 5)"
156,0.426581202486253,300,all,LAIS,"(0.25, 1)"
157,0.1524759136433062,300,all,LAIS,"(0.5, 1)"
158,0.06392418072221848,300,all,LAIS,"(1, 3)"
159,0.05433192282957042,300,all,LAIS,"(1, 5)"
160,0.9341854510247778,600,-,HAM,"(0.25, 1)"
161,0.8542093739102367,600,-,HAM,"(0.5, 1)"
162,0.22514698273890515,600,-,HAM,"(1, 3)"
163,0.2729440091001986,600,-,HAM,"(1, 5)"
164,1.0481058714446998,300,spatial,LAIS,"(0.25, 1)"
165,2.0400767553634624,300,-,HAM,"(0.25, 1)"
166,0.6433043329975201,300,spatial,LAIS,"(0.5, 1)"
167,0.9038264239119392,300,-,HAM,"(0.5, 1)"
168,0.35431223260714584,300,spatial,LAIS,"(1, 3)"
169,0.312364729681601,300,-,HAM,"(1, 3)"
170,1.5395379557120734,300,spatial,LAIS,"(1, 5)"
171,2.3544423125937888,300,-,HAM,"(1, 5)"
172,0.9661838988013683,300,temporal,LAIS,"(0.25, 1)"
173,3.061881007041785,300,temporal,LAIS,"(0.5, 1)"
174,0.23979474141846996,300,temporal,LAIS,"(1, 3)"
175,0.14954128622164886,300,temporal,LAIS,"(1, 5)"
176,0.20677512338679094,300,all,LAIS,"(0.25, 1)"
177,0.2782491838522921,300,all,LAIS,"(0.5, 1)"
178,0.08693749556137613,300,all,LAIS,"(1, 3)"
179,0.0674826699825101,300,all,LAIS,"(1, 5)"
180,0.4508814646406748,600,-,HAM,"(0.25, 1)"
181,0.2300850747605472,600,-,HAM,"(0.5, 1)"
182,0.1401987348788029,600,-,HAM,"(1, 3)"
183,0.4742682161189394,600,-,HAM,"(1, 5)"
184,0.3739329336467931,300,spatial,LAIS,"(0.25, 1)"
185,0.7424160583883455,300,-,HAM,"(0.25, 1)"
186,0.8492544134822954,300,spatial,LAIS,"(0.5, 1)"
187,0.8739338059189272,300,-,HAM,"(0.5, 1)"
188,0.9893919407396534,300,spatial,LAIS,"(1, 3)"
189,0.6140720431109988,300,-,HAM,"(1, 3)"
190,0.5085618630581433,300,spatial,LAIS,"(1, 5)"
191,0.21958622472374595,300,-,HAM,"(1, 5)"
192,0.5825821786234611,300,temporal,LAIS,"(0.25, 1)"
193,2.0079048039677674,300,temporal,LAIS,"(0.5, 1)"
194,0.4491244534332063,300,temporal,LAIS,"(1, 3)"
195,0.16128810932995588,300,temporal,LAIS,"(1, 5)"
196,0.15071578920132192,300,all,LAIS,"(0.25, 1)"
197,0.2891524447465864,300,all,LAIS,"(0.5, 1)"
198,0.2458083678309897,300,all,LAIS,"(1, 3)"
199,0.11956582978586335,300,all,LAIS,"(1, 5)"
200,1.149479115257637,600,-,HAM,"(0.25, 1)"
201,0.7986943210439428,600,-,HAM,"(0.5, 1)"
202,0.3509447744069537,600,-,HAM,"(1, 3)"
203,0.5973274939230302,600,-,HAM,"(1, 5)"
204,1.061114149609703,300,spatial,LAIS,"(0.25, 1)"
205,1.5301035478823084,300,-,HAM,"(0.25, 1)"
206,0.4974185936947424,300,spatial,LAIS,"(0.5, 1)"
207,1.1723395311356122,300,-,HAM,"(0.5, 1)"
208,0.7461588604838065,300,spatial,LAIS,"(1, 3)"
209,0.993779255816443,300,-,HAM,"(1, 3)"
210,0.463806542475422,300,spatial,LAIS,"(1, 5)"
211,0.27163348527766706,300,-,HAM,"(1, 5)"
