,Errors,Epochs,Denominator,Algorithm,Parameters
0,0.7581841275027649,300,-,HAM,"(0.25, 1)"
1,0.6834782615996429,300,-,HAM,"(0.5, 1)"
2,0.4858243803410564,300,-,HAM,"(1, 3)"
3,1.5766332581352676,300,-,HAM,"(1, 5)"
4,0.2748907223082645,150,spatial,LAIS,"(0.25, 1)"
5,1.5144210965420892,150,-,HAM,"(0.25, 1)"
6,0.39933014190629584,150,spatial,LAIS,"(0.5, 1)"
7,1.0881988754181051,150,-,HAM,"(0.5, 1)"
8,0.7280354435197073,150,spatial,LAIS,"(1, 3)"
9,0.5874177580102385,150,-,HAM,"(1, 3)"
10,0.3258941849673084,150,spatial,LAIS,"(1, 5)"
11,2.1377003560483256,150,-,HAM,"(1, 5)"
12,1.1191112399981686,150,temporal,LAIS,"(0.25, 1)"
13,1.277383348962286,150,temporal,LAIS,"(0.5, 1)"
14,0.3452534447127565,150,temporal,LAIS,"(1, 3)"
15,0.22170112684626214,150,temporal,LAIS,"(1, 5)"
16,0.1706536849199693,150,all,LAIS,"(0.25, 1)"
17,0.10720443215024224,150,all,LAIS,"(0.5, 1)"
18,0.13650624304928832,150,all,LAIS,"(1, 3)"
19,0.16752950224925,150,all,LAIS,"(1, 5)"
20,1.3124392493023376,300,-,HAM,"(0.25, 1)"
21,1.5738595727999032,300,-,HAM,"(0.5, 1)"
22,0.1260338003523555,300,-,HAM,"(1, 3)"
23,2.4272462182918466,300,-,HAM,"(1, 5)"
24,2.568343531409297,150,spatial,LAIS,"(0.25, 1)"
25,1.2110468519612334,150,-,HAM,"(0.25, 1)"
26,0.13478534057869826,150,spatial,LAIS,"(0.5, 1)"
27,0.8024483026099981,150,-,HAM,"(0.5, 1)"
28,0.4095278368846542,150,spatial,LAIS,"(1, 3)"
29,0.4500854365807573,150,-,HAM,"(1, 3)"
30,0.18615477448719067,150,spatial,LAIS,"(1, 5)"
31,2.2582724245555243,150,-,HAM,"(1, 5)"
32,1.6134087946065858,150,temporal,LAIS,"(0.25, 1)"
33,1.0099687481928783,150,temporal,LAIS,"(0.5, 1)"
34,0.20235534702475205,150,temporal,LAIS,"(1, 3)"
35,0.5910031131186405,150,temporal,LAIS,"(1, 5)"
36,0.1057210292474707,150,all,LAIS,"(0.25, 1)"
37,0.2351627125438232,150,all,LAIS,"(0.5, 1)"
38,0.03891318816097025,150,all,LAIS,"(1, 3)"
39,0.06995540934068545,150,all,LAIS,"(1, 5)"
40,0.8777733080210932,300,-,HAM,"(0.25, 1)"
41,1.209850542730999,300,-,HAM,"(0.5, 1)"
42,0.06865004099863876,300,-,HAM,"(1, 3)"
43,0.12708284618624685,300,-,HAM,"(1, 5)"
44,0.5838408972243694,150,spatial,LAIS,"(0.25, 1)"
45,1.9777827602247804,150,-,HAM,"(0.25, 1)"
46,0.20231181804668327,150,spatial,LAIS,"(0.5, 1)"
47,1.2539821255728492,150,-,HAM,"(0.5, 1)"
48,0.09854926388449424,150,spatial,LAIS,"(1, 3)"
49,0.27091261826382673,150,-,HAM,"(1, 3)"
50,0.3667142624565923,150,spatial,LAIS,"(1, 5)"
51,2.73313430671964,150,-,HAM,"(1, 5)"
52,0.5973448986886621,150,temporal,LAIS,"(0.25, 1)"
53,1.1400835873503297,150,temporal,LAIS,"(0.5, 1)"
54,0.31380762931064804,150,temporal,LAIS,"(1, 3)"
55,0.216331801107866,150,temporal,LAIS,"(1, 5)"
56,0.07217277722996385,150,all,LAIS,"(0.25, 1)"
57,0.14484121838045802,150,all,LAIS,"(0.5, 1)"
58,0.062309333599775925,150,all,LAIS,"(1, 3)"
59,0.0934737147382846,150,all,LAIS,"(1, 5)"
60,0.8874306724527458,300,-,HAM,"(0.25, 1)"
61,1.3568680177313717,300,-,HAM,"(0.5, 1)"
62,0.7599343416698229,300,-,HAM,"(1, 3)"
63,0.9316711737879398,300,-,HAM,"(1, 5)"
64,0.4831353612313419,150,spatial,LAIS,"(0.25, 1)"
65,1.64600387978104,150,-,HAM,"(0.25, 1)"
66,0.3475192992998988,150,spatial,LAIS,"(0.5, 1)"
67,2.2388379383021664,150,-,HAM,"(0.5, 1)"
68,0.23747793843765344,150,spatial,LAIS,"(1, 3)"
69,0.3863476551468799,150,-,HAM,"(1, 3)"
70,0.24611142261424476,150,spatial,LAIS,"(1, 5)"
71,0.28346415424920346,150,-,HAM,"(1, 5)"
72,0.3848518315126709,150,temporal,LAIS,"(0.25, 1)"
73,0.9625758635923632,150,temporal,LAIS,"(0.5, 1)"
74,0.16639810469345825,150,temporal,LAIS,"(1, 3)"
75,0.5894759039029813,150,temporal,LAIS,"(1, 5)"
76,0.07904729500197523,150,all,LAIS,"(0.25, 1)"
