,Errors,Epochs,Denominator,Algorithm,Parameters
0,0.6434066798715584,1200,-,HAM,"(0.25, 1)"
1,0.4910550773679253,1200,-,HAM,"(0.5, 1)"
2,0.6581537919322826,1200,-,HAM,"(1, 3)"
3,0.18460994722375207,1200,-,HAM,"(1, 5)"
4,1.4459971074418934,600,spatial,LAIS,"(0.25, 1)"
5,3.0769434639142355,600,-,HAM,"(0.25, 1)"
6,2.137425584784707,600,spatial,LAIS,"(0.5, 1)"
7,1.261924016107501,600,-,HAM,"(0.5, 1)"
8,0.6702040804033378,600,spatial,LAIS,"(1, 3)"
9,0.3671275860906066,600,-,HAM,"(1, 3)"
10,0.8303725739826338,600,spatial,LAIS,"(1, 5)"
11,0.2296307783282493,600,-,HAM,"(1, 5)"
12,0.14588175926798194,600,temporal,LAIS,"(0.25, 1)"
13,0.5866718695275621,600,temporal,LAIS,"(0.5, 1)"
14,0.1190069296278996,600,temporal,LAIS,"(1, 3)"
15,0.17534085973853544,600,temporal,LAIS,"(1, 5)"
16,0.06917839240981452,600,all,LAIS,"(0.25, 1)"
17,0.08347362337923372,600,all,LAIS,"(0.5, 1)"
18,0.13327843455338978,600,all,LAIS,"(1, 3)"
19,0.10404424524475546,600,all,LAIS,"(1, 5)"
20,0.7314000290539673,1200,-,HAM,"(0.25, 1)"
21,1.5130878456355719,1200,-,HAM,"(0.5, 1)"
22,0.2527400688746148,1200,-,HAM,"(1, 3)"
23,0.2238248363013234,1200,-,HAM,"(1, 5)"
24,0.5137325616240853,600,spatial,LAIS,"(0.25, 1)"
25,1.2094391799962236,600,-,HAM,"(0.25, 1)"
26,2.6833487272345478,600,spatial,LAIS,"(0.5, 1)"
27,2.0496503428358683,600,-,HAM,"(0.5, 1)"
28,0.8408507847138209,600,spatial,LAIS,"(1, 3)"
29,0.6843146475436864,600,-,HAM,"(1, 3)"
30,0.5507049152872733,600,spatial,LAIS,"(1, 5)"
31,0.17028704022912214,600,-,HAM,"(1, 5)"
32,0.4371226340344425,600,temporal,LAIS,"(0.25, 1)"
33,0.6216459456272067,600,temporal,LAIS,"(0.5, 1)"
34,0.15205186102225995,600,temporal,LAIS,"(1, 3)"
35,0.1300084935605323,600,temporal,LAIS,"(1, 5)"
36,0.12309753118162675,600,all,LAIS,"(0.25, 1)"
37,0.26410427752848536,600,all,LAIS,"(0.5, 1)"
38,0.09594171691780301,600,all,LAIS,"(1, 3)"
39,0.062058779649976276,600,all,LAIS,"(1, 5)"
40,1.7279484612432037,1200,-,HAM,"(0.25, 1)"
41,1.81709186278346,1200,-,HAM,"(0.5, 1)"
42,0.21995844702784453,1200,-,HAM,"(1, 3)"
43,0.12356183474586993,1200,-,HAM,"(1, 5)"
44,1.1535535193117976,600,spatial,LAIS,"(0.25, 1)"
45,0.4399216176730407,600,-,HAM,"(0.25, 1)"
46,0.8479269305615909,600,spatial,LAIS,"(0.5, 1)"
47,1.313180203266263,600,-,HAM,"(0.5, 1)"
48,0.8716159233137594,600,spatial,LAIS,"(1, 3)"
49,0.8253944294773634,600,-,HAM,"(1, 3)"
50,0.8248791327020275,600,spatial,LAIS,"(1, 5)"
51,0.6042733426010188,600,-,HAM,"(1, 5)"
52,1.7763679822308167,600,temporal,LAIS,"(0.25, 1)"
53,0.6030715839467692,600,temporal,LAIS,"(0.5, 1)"
54,0.1484016934508759,600,temporal,LAIS,"(1, 3)"
55,0.06905090963874139,600,temporal,LAIS,"(1, 5)"
56,0.14931298166111082,600,all,LAIS,"(0.25, 1)"
57,0.3299484855754031,600,all,LAIS,"(0.5, 1)"
58,0.18936976653189408,600,all,LAIS,"(1, 3)"
59,0.09148251981487808,600,all,LAIS,"(1, 5)"
60,0.9039319737765904,1200,-,HAM,"(0.25, 1)"
61,0.7167182044867495,1200,-,HAM,"(0.5, 1)"
62,0.35794940514449874,1200,-,HAM,"(1, 3)"
63,0.8783898127398893,1200,-,HAM,"(1, 5)"
64,3.2139063621988737,600,spatial,LAIS,"(0.25, 1)"
65,3.3727058873694773,600,-,HAM,"(0.25, 1)"
66,1.035858525848644,600,spatial,LAIS,"(0.5, 1)"
67,0.8157511899499224,600,-,HAM,"(0.5, 1)"
68,0.9536481492439852,600,spatial,LAIS,"(1, 3)"
69,0.12043674233870792,600,-,HAM,"(1, 3)"
70,0.7712303768102585,600,spatial,LAIS,"(1, 5)"
71,0.7785373233472446,600,-,HAM,"(1, 5)"
72,2.5910010868908233,600,temporal,LAIS,"(0.25, 1)"
73,0.7265198533107691,600,temporal,LAIS,"(0.5, 1)"
74,0.21083132242495412,600,temporal,LAIS,"(1, 3)"
75,0.13751650434097734,600,temporal,LAIS,"(1, 5)"
76,0.11568107949015165,600,all,LAIS,"(0.25, 1)"
77,0.10624274539039487,600,all,LAIS,"(0.5, 1)"
78,0.08887059431140436,600,all,LAIS,"(1, 3)"
79,0.07416722013494455,600,all,LAIS,"(1, 5)"
80,0.9408708281624009,1200,-,HAM,"(0.25, 1)"
81,0.2859817492442686,1200,-,HAM,"(0.5, 1)"
82,0.6051438344620061,1200,-,HAM,"(1, 3)"
83,0.06539018638271463,1200,-,HAM,"(1, 5)"
84,0.5627947612284699,600,spatial,LAIS,"(0.25, 1)"
85,1.7294706622994458,600,-,HAM,"(0.25, 1)"
86,1.6743599666491504,600,spatial,LAIS,"(0.5, 1)"
87,1.2548296625206248,600,-,HAM,"(0.5, 1)"
88,0.6229896913440349,600,spatial,LAIS,"(1, 3)"
89,0.3582076991332831,600,-,HAM,"(1, 3)"
90,0.995803380817654,600,spatial,LAIS,"(1, 5)"
91,0.15147444780510275,600,-,HAM,"(1, 5)"
92,0.1116481497327952,600,temporal,LAIS,"(0.25, 1)"
93,0.6922843458023791,600,temporal,LAIS,"(0.5, 1)"
94,0.11937361131701882,600,temporal,LAIS,"(1, 3)"
95,0.12368243560726765,600,temporal,LAIS,"(1, 5)"
96,0.10845823321134536,600,all,LAIS,"(0.25, 1)"
97,0.1016552932644235,600,all,LAIS,"(0.5, 1)"
98,0.14977424825915436,600,all,LAIS,"(1, 3)"
99,0.14438224881462186,600,all,LAIS,"(1, 5)"
100,0.999407257491144,1200,-,HAM,"(0.25, 1)"
101,0.7388729915821937,1200,-,HAM,"(0.5, 1)"
102,0.6138775701960504,1200,-,HAM,"(1, 3)"
103,0.15933260087250165,1200,-,HAM,"(1, 5)"
104,0.7031040868244801,600,spatial,LAIS,"(0.25, 1)"
105,0.5771617034943434,600,-,HAM,"(0.25, 1)"
106,0.7245227892766527,600,spatial,LAIS,"(0.5, 1)"
107,0.5928915765753511,600,-,HAM,"(0.5, 1)"
108,0.8307235263786454,600,spatial,LAIS,"(1, 3)"
109,1.3481683002371208,600,-,HAM,"(1, 3)"
110,0.7168393149924077,600,spatial,LAIS,"(1, 5)"
111,0.2550961992278465,600,-,HAM,"(1, 5)"
112,0.5623149070205509,600,temporal,LAIS,"(0.25, 1)"
113,0.16014303941014366,600,temporal,LAIS,"(0.5, 1)"
114,0.13015965766930054,600,temporal,LAIS,"(1, 3)"
115,0.06875448040376031,600,temporal,LAIS,"(1, 5)"
116,0.14652647005945574,600,all,LAIS,"(0.25, 1)"
117,1.308911108692378,600,all,LAIS,"(0.5, 1)"
118,0.07249701475047253,600,all,LAIS,"(1, 3)"
119,0.2251463818298082,600,all,LAIS,"(1, 5)"
120,0.8270532443509963,1200,-,HAM,"(0.25, 1)"
121,1.8642937768169092,1200,-,HAM,"(0.5, 1)"
122,0.2329208897337233,1200,-,HAM,"(1, 3)"
123,0.4603337281303519,1200,-,HAM,"(1, 5)"
124,0.9589524044428877,600,spatial,LAIS,"(0.25, 1)"
125,2.0220344805328634,600,-,HAM,"(0.25, 1)"
126,0.8936216986451404,600,spatial,LAIS,"(0.5, 1)"
127,0.6803332011579301,600,-,HAM,"(0.5, 1)"
128,0.746395298791631,600,spatial,LAIS,"(1, 3)"
129,0.257902114904258,600,-,HAM,"(1, 3)"
130,0.8067078408854483,600,spatial,LAIS,"(1, 5)"
131,1.8404800120596976,600,-,HAM,"(1, 5)"
132,0.2095704999761941,600,temporal,LAIS,"(0.25, 1)"
133,0.6094186941372641,600,temporal,LAIS,"(0.5, 1)"
134,0.08456945198943781,600,temporal,LAIS,"(1, 3)"
135,0.050528470851752334,600,temporal,LAIS,"(1, 5)"
136,0.22007284089294854,600,all,LAIS,"(0.25, 1)"
137,0.09014463200280157,600,all,LAIS,"(0.5, 1)"
138,0.1855031606752843,600,all,LAIS,"(1, 3)"
139,0.12088174738639405,600,all,LAIS,"(1, 5)"
140,0.6170170075021935,1200,-,HAM,"(0.25, 1)"
141,0.21723421617528654,1200,-,HAM,"(0.5, 1)"
142,0.3577328912701591,1200,-,HAM,"(1, 3)"
143,0.5493789664616162,1200,-,HAM,"(1, 5)"
144,1.0752149108431222,600,spatial,LAIS,"(0.25, 1)"
145,0.6222021311414272,600,-,HAM,"(0.25, 1)"
146,0.9970341967331852,600,spatial,LAIS,"(0.5, 1)"
147,1.3625515230097252,600,-,HAM,"(0.5, 1)"
148,1.3269176881993014,600,spatial,LAIS,"(1, 3)"
149,0.21779547805868432,600,-,HAM,"(1, 3)"
150,2.609057537936919,600,spatial,LAIS,"(1, 5)"
151,0.20467370365987367,600,-,HAM,"(1, 5)"
152,0.176666212048964,600,temporal,LAIS,"(0.25, 1)"
153,1.6012181702318482,600,temporal,LAIS,"(0.5, 1)"
154,0.0959206488322644,600,temporal,LAIS,"(1, 3)"
