,Errors,Epochs,Denominator,Algorithm,Parameters
0,1.226391366065653,96,-,HAM,"(0.25, 1)"
1,1.8905626358784804,96,-,HAM,"(0.5, 1)"
2,0.3148333725572194,96,-,HAM,"(1, 3)"
3,2.4212779210103,96,-,HAM,"(1, 5)"
4,0.2554543883096917,48,spatial,LAIS,"(0.25, 1)"
5,2.908580533509024,48,-,HAM,"(0.25, 1)"
6,0.19641483612066427,48,spatial,LAIS,"(0.5, 1)"
7,2.374118673593559,48,-,HAM,"(0.5, 1)"
8,0.20018741537210705,48,spatial,LAIS,"(1, 3)"
9,0.517658174143105,48,-,HAM,"(1, 3)"
10,0.18813440369224615,48,spatial,LAIS,"(1, 5)"
11,2.7562149010666506,48,-,HAM,"(1, 5)"
12,1.6975959331790582,48,temporal,LAIS,"(0.25, 1)"
13,0.9496934622228504,48,temporal,LAIS,"(0.5, 1)"
14,0.5197663115425984,48,temporal,LAIS,"(1, 3)"
15,0.3764718438639739,48,temporal,LAIS,"(1, 5)"
16,0.14331196011287886,48,all,LAIS,"(0.25, 1)"
17,0.1848667461366677,48,all,LAIS,"(0.5, 1)"
18,0.09570715130113612,48,all,LAIS,"(1, 3)"
19,0.08536805131650863,48,all,LAIS,"(1, 5)"
20,1.0557076617166623,96,-,HAM,"(0.25, 1)"
21,2.1952838292459,96,-,HAM,"(0.5, 1)"
22,0.3007831845095644,96,-,HAM,"(1, 3)"
23,0.7624819691948351,96,-,HAM,"(1, 5)"
24,0.11936716029833212,48,spatial,LAIS,"(0.25, 1)"
25,2.75807973642861,48,-,HAM,"(0.25, 1)"
26,0.9165748184978302,48,spatial,LAIS,"(0.5, 1)"
27,3.0577113251354135,48,-,HAM,"(0.5, 1)"
28,0.22908543568680825,48,spatial,LAIS,"(1, 3)"
29,0.6254722616768257,48,-,HAM,"(1, 3)"
30,0.25794594010888977,48,spatial,LAIS,"(1, 5)"
31,7.397480726598278,48,-,HAM,"(1, 5)"
32,0.9646743938073591,48,temporal,LAIS,"(0.25, 1)"
33,0.9426885945431132,48,temporal,LAIS,"(0.5, 1)"
34,0.7308550472254323,48,temporal,LAIS,"(1, 3)"
35,0.2554954605062171,48,temporal,LAIS,"(1, 5)"
36,0.17047293955173273,48,all,LAIS,"(0.25, 1)"
37,0.14449704598617488,48,all,LAIS,"(0.5, 1)"
38,0.1286357383752937,48,all,LAIS,"(1, 3)"
39,0.12799426732933927,48,all,LAIS,"(1, 5)"
40,0.7388785756998654,96,-,HAM,"(0.25, 1)"
41,1.4463078443238944,96,-,HAM,"(0.5, 1)"
42,0.3405693419131017,96,-,HAM,"(1, 3)"
43,0.539030968980185,96,-,HAM,"(1, 5)"
44,0.1061981255925062,48,spatial,LAIS,"(0.25, 1)"
45,2.0924754585660303,48,-,HAM,"(0.25, 1)"
46,0.17003197520493396,48,spatial,LAIS,"(0.5, 1)"
47,2.2823305642745693,48,-,HAM,"(0.5, 1)"
48,0.037615537589460235,48,spatial,LAIS,"(1, 3)"
49,0.6434783425601676,48,-,HAM,"(1, 3)"
50,0.19592587515420687,48,spatial,LAIS,"(1, 5)"
51,1.9112041906617208,48,-,HAM,"(1, 5)"
52,0.9401564514878622,48,temporal,LAIS,"(0.25, 1)"
53,0.596591450048897,48,temporal,LAIS,"(0.5, 1)"
54,1.4435241164578438,48,temporal,LAIS,"(1, 3)"
55,0.35468307738883165,48,temporal,LAIS,"(1, 5)"
56,0.32426006822908066,48,all,LAIS,"(0.25, 1)"
57,0.12453134215204678,48,all,LAIS,"(0.5, 1)"
58,0.07831496566006155,48,all,LAIS,"(1, 3)"
59,0.17543238126685656,48,all,LAIS,"(1, 5)"
60,2.24925069386192,96,-,HAM,"(0.25, 1)"
61,1.6698771046797312,96,-,HAM,"(0.5, 1)"
62,0.3892958626246457,96,-,HAM,"(1, 3)"
63,5.346514126392913,96,-,HAM,"(1, 5)"
64,0.16626814871969994,48,spatial,LAIS,"(0.25, 1)"
65,2.218626865203857,48,-,HAM,"(0.25, 1)"
66,0.097944233504417,48,spatial,LAIS,"(0.5, 1)"
67,1.3815368399534445,48,-,HAM,"(0.5, 1)"
68,0.15376036176396896,48,spatial,LAIS,"(1, 3)"
69,0.3654023337362825,48,-,HAM,"(1, 3)"
70,0.18766937650357146,48,spatial,LAIS,"(1, 5)"
71,0.392747644827642,48,-,HAM,"(1, 5)"
72,1.4786944603353762,48,temporal,LAIS,"(0.25, 1)"
73,0.5945054824302198,48,temporal,LAIS,"(0.5, 1)"
74,0.494810147142413,48,temporal,LAIS,"(1, 3)"
75,0.4504920054958402,48,temporal,LAIS,"(1, 5)"
76,0.06680897841114204,48,all,LAIS,"(0.25, 1)"
77,0.13779643015062645,48,all,LAIS,"(0.5, 1)"
78,0.07119594454421277,48,all,LAIS,"(1, 3)"
79,0.08452208653398552,48,all,LAIS,"(1, 5)"
80,1.1915463729577875,96,-,HAM,"(0.25, 1)"
81,1.4472257694723851,96,-,HAM,"(0.5, 1)"
82,0.4042504517870783,96,-,HAM,"(1, 3)"
83,3.4383317921458536,96,-,HAM,"(1, 5)"
84,0.08247794275585019,48,spatial,LAIS,"(0.25, 1)"
85,1.9098894415365448,48,-,HAM,"(0.25, 1)"
86,0.16047192355629386,48,spatial,LAIS,"(0.5, 1)"
87,3.5137402540181117,48,-,HAM,"(0.5, 1)"
88,0.2502220472287676,48,spatial,LAIS,"(1, 3)"
89,0.7872917068396224,48,-,HAM,"(1, 3)"
90,0.1337982904264204,48,spatial,LAIS,"(1, 5)"
91,2.4680052927911933,48,-,HAM,"(1, 5)"
92,0.4436356028262557,48,temporal,LAIS,"(0.25, 1)"
93,1.1878531601859732,48,temporal,LAIS,"(0.5, 1)"
94,0.2583532183873529,48,temporal,LAIS,"(1, 3)"
95,0.6566044199807372,48,temporal,LAIS,"(1, 5)"
96,0.11619366088934704,48,all,LAIS,"(0.25, 1)"
97,0.07333193703913579,48,all,LAIS,"(0.5, 1)"
98,0.13657076130010898,48,all,LAIS,"(1, 3)"
99,0.07052219988074837,48,all,LAIS,"(1, 5)"
100,0.7232877314020226,96,-,HAM,"(0.25, 1)"
101,1.3984828682451376,96,-,HAM,"(0.5, 1)"
102,0.5708750679902496,96,-,HAM,"(1, 3)"
103,4.505040999302019,96,-,HAM,"(1, 5)"
104,0.1822387729337894,48,spatial,LAIS,"(0.25, 1)"
105,2.348111720133455,48,-,HAM,"(0.25, 1)"
106,0.1812792002946951,48,spatial,LAIS,"(0.5, 1)"
107,3.868499587061757,48,-,HAM,"(0.5, 1)"
108,0.13056394947003486,48,spatial,LAIS,"(1, 3)"
