,Errors,Epochs,Denominator,Algorithm,Parameters
0,1.078584796714696,200,-,HAM,"(0.25, 1)"
1,0.7188102928199634,200,-,HAM,"(0.5, 1)"
2,0.3352704455917822,200,-,HAM,"(1, 3)"
3,0.4252696980828291,200,-,HAM,"(1, 5)"
4,0.7773035288246934,100,spatial,LAIS,"(0.25, 1)"
5,0.9938794147678104,100,-,HAM,"(0.25, 1)"
6,0.31761125460934336,100,spatial,LAIS,"(0.5, 1)"
7,2.3826725256351935,100,-,HAM,"(0.5, 1)"
8,0.11643705284340684,100,spatial,LAIS,"(1, 3)"
9,0.3095344742117621,100,-,HAM,"(1, 3)"
10,1.0630620917299778,100,spatial,LAIS,"(1, 5)"
11,2.948895922370761,100,-,HAM,"(1, 5)"
12,2.009615382165836,100,temporal,LAIS,"(0.25, 1)"
13,0.9776659441182708,100,temporal,LAIS,"(0.5, 1)"
14,0.14005137803484974,100,temporal,LAIS,"(1, 3)"
15,0.17426552856178318,100,temporal,LAIS,"(1, 5)"
16,0.056922323004413126,100,all,LAIS,"(0.25, 1)"
17,0.1522758082884171,100,all,LAIS,"(0.5, 1)"
18,0.057285326174260326,100,all,LAIS,"(1, 3)"
19,0.1429902268314817,100,all,LAIS,"(1, 5)"
20,0.6286582683295816,200,-,HAM,"(0.25, 1)"
21,1.477399640697406,200,-,HAM,"(0.5, 1)"
22,0.13566920665261814,200,-,HAM,"(1, 3)"
23,3.1603953297050404,200,-,HAM,"(1, 5)"
24,0.4497101141806613,100,spatial,LAIS,"(0.25, 1)"
25,2.2525836316410563,100,-,HAM,"(0.25, 1)"
26,0.22712796912131644,100,spatial,LAIS,"(0.5, 1)"
27,2.2289068863012496,100,-,HAM,"(0.5, 1)"
28,0.2914542399690909,100,spatial,LAIS,"(1, 3)"
29,0.6752213733727064,100,-,HAM,"(1, 3)"
30,0.32095702088103184,100,spatial,LAIS,"(1, 5)"
31,2.63080129155242,100,-,HAM,"(1, 5)"
32,0.466652835774017,100,temporal,LAIS,"(0.25, 1)"
33,0.7780369078340691,100,temporal,LAIS,"(0.5, 1)"
34,0.19253804957277895,100,temporal,LAIS,"(1, 3)"
35,0.7919104899476201,100,temporal,LAIS,"(1, 5)"
36,0.14377462566181154,100,all,LAIS,"(0.25, 1)"
37,0.22206022718238366,100,all,LAIS,"(0.5, 1)"
38,0.14661051883562054,100,all,LAIS,"(1, 3)"
39,0.094093451241311,100,all,LAIS,"(1, 5)"
40,0.8540649613201488,200,-,HAM,"(0.25, 1)"
41,1.2991704744488457,200,-,HAM,"(0.5, 1)"
42,0.5029061144005158,200,-,HAM,"(1, 3)"
43,2.590418920211125,200,-,HAM,"(1, 5)"
44,0.20457661755261886,100,spatial,LAIS,"(0.25, 1)"
45,1.5937261176711657,100,-,HAM,"(0.25, 1)"
