,Errors,Epochs,Denominator,Algorithm,Parameters
0,3.068868659922976,40,-,HAM,"(0.25, 1)"
1,3.0271171930618355,40,-,HAM,"(0.5, 1)"
2,0.7393602716311107,40,-,HAM,"(1, 3)"
3,4.139619581115927,40,-,HAM,"(1, 5)"
4,0.3214785277640965,20,spatial,LAIS,"(0.25, 1)"
5,0.1576624969627763,20,spatial,LAIS,"(0.5, 1)"
6,0.2041313322711956,20,spatial,LAIS,"(1, 3)"
7,0.028850833478394206,20,spatial,LAIS,"(1, 5)"
8,1.213323991463533,20,temporal,LAIS,"(0.25, 1)"
9,0.5935481162867026,20,temporal,LAIS,"(0.5, 1)"
10,0.519224216911636,20,temporal,LAIS,"(1, 3)"
11,0.8832652654609087,20,temporal,LAIS,"(1, 5)"
12,0.13936013655532425,20,all,LAIS,"(0.25, 1)"
13,0.05451371541698293,20,all,LAIS,"(0.5, 1)"
14,0.08376333980178825,20,all,LAIS,"(1, 3)"
15,0.13414448626010272,20,all,LAIS,"(1, 5)"
16,2.8165707875206456,40,-,HAM,"(0.25, 1)"
17,3.750837485526259,40,-,HAM,"(0.5, 1)"
18,0.6889220699123022,40,-,HAM,"(1, 3)"
19,5.283218418958177,40,-,HAM,"(1, 5)"
20,0.15848644377621454,20,spatial,LAIS,"(0.25, 1)"
21,0.04506653253586408,20,spatial,LAIS,"(0.5, 1)"
22,0.2359901099673091,20,spatial,LAIS,"(1, 3)"
23,0.08406036711871874,20,spatial,LAIS,"(1, 5)"
24,1.62616202548523,20,temporal,LAIS,"(0.25, 1)"
25,0.5654790449113261,20,temporal,LAIS,"(0.5, 1)"
26,0.5172762207661984,20,temporal,LAIS,"(1, 3)"
27,0.4726223395452113,20,temporal,LAIS,"(1, 5)"
28,0.11296601362666164,20,all,LAIS,"(0.25, 1)"
29,0.08576125617627425,20,all,LAIS,"(0.5, 1)"
30,0.1567681554896426,20,all,LAIS,"(1, 3)"
31,0.11493736400694834,20,all,LAIS,"(1, 5)"
32,2.7559470750936312,40,-,HAM,"(0.25, 1)"
33,4.00831861278636,40,-,HAM,"(0.5, 1)"
34,0.6160772817555296,40,-,HAM,"(1, 3)"
35,6.215250450397347,40,-,HAM,"(1, 5)"
36,0.19026527764129247,20,spatial,LAIS,"(0.25, 1)"
37,0.13190124407322046,20,spatial,LAIS,"(0.5, 1)"
38,0.2941994795258899,20,spatial,LAIS,"(1, 3)"
39,0.20992466878131627,20,spatial,LAIS,"(1, 5)"
40,3.182984152715379,20,temporal,LAIS,"(0.25, 1)"
41,1.4980302195009,20,temporal,LAIS,"(0.5, 1)"
42,1.9815462625847335,20,temporal,LAIS,"(1, 3)"
43,0.5101008190973941,20,temporal,LAIS,"(1, 5)"
44,0.11018624148616092,20,all,LAIS,"(0.25, 1)"
45,0.1691730616718065,20,all,LAIS,"(0.5, 1)"
46,0.11987517395563572,20,all,LAIS,"(1, 3)"
47,0.13890358534330444,20,all,LAIS,"(1, 5)"
48,2.5067396535285686,40,-,HAM,"(0.25, 1)"
49,2.5966167133188014,40,-,HAM,"(0.5, 1)"
50,0.9478237306492484,40,-,HAM,"(1, 3)"
51,2.3522609971398527,40,-,HAM,"(1, 5)"
52,0.2229355905405126,20,spatial,LAIS,"(0.25, 1)"
53,0.1985157718992125,20,spatial,LAIS,"(0.5, 1)"
54,0.12489921922236938,20,spatial,LAIS,"(1, 3)"
55,0.16988969088980027,20,spatial,LAIS,"(1, 5)"
56,0.6683527275006631,20,temporal,LAIS,"(0.25, 1)"
57,0.8348790294422382,20,temporal,LAIS,"(0.5, 1)"
58,0.7648258498019185,20,temporal,LAIS,"(1, 3)"
59,0.3018002184188796,20,temporal,LAIS,"(1, 5)"
60,0.13587685378986675,20,all,LAIS,"(0.25, 1)"
61,0.15878385676064086,20,all,LAIS,"(0.5, 1)"
62,0.17538730885847648,20,all,LAIS,"(1, 3)"
63,0.2330893148716328,20,all,LAIS,"(1, 5)"
64,2.3637937524621453,40,-,HAM,"(0.25, 1)"
65,3.5218906545222843,40,-,HAM,"(0.5, 1)"
66,0.8222805336928506,40,-,HAM,"(1, 3)"
67,3.3372510827349786,40,-,HAM,"(1, 5)"
68,0.17105610082902184,20,spatial,LAIS,"(0.25, 1)"
69,0.12425172965706904,20,spatial,LAIS,"(0.5, 1)"
70,0.13189711745410224,20,spatial,LAIS,"(1, 3)"
71,0.211980667658992,20,spatial,LAIS,"(1, 5)"
72,1.3103509744728177,20,temporal,LAIS,"(0.25, 1)"
73,0.9279874646497464,20,temporal,LAIS,"(0.5, 1)"
74,0.28899811227285593,20,temporal,LAIS,"(1, 3)"
75,0.4879983037152272,20,temporal,LAIS,"(1, 5)"
76,0.09873448170490162,20,all,LAIS,"(0.25, 1)"
77,0.12716585364849148,20,all,LAIS,"(0.5, 1)"
78,0.07493328175213745,20,all,LAIS,"(1, 3)"
79,0.1641150360259666,20,all,LAIS,"(1, 5)"
80,3.517113158434037,40,-,HAM,"(0.25, 1)"
81,3.122279969258152,40,-,HAM,"(0.5, 1)"
82,0.6899797369466828,40,-,HAM,"(1, 3)"
83,2.85343976039452,40,-,HAM,"(1, 5)"
84,0.1247254108148449,20,spatial,LAIS,"(0.25, 1)"
85,0.09896791916907416,20,spatial,LAIS,"(0.5, 1)"
86,0.12632912037193228,20,spatial,LAIS,"(1, 3)"
87,0.08422893645703337,20,spatial,LAIS,"(1, 5)"
88,0.9180937397186868,20,temporal,LAIS,"(0.25, 1)"
89,0.7180329252231848,20,temporal,LAIS,"(0.5, 1)"
90,0.3989829172772825,20,temporal,LAIS,"(1, 3)"
91,0.4036779965640404,20,temporal,LAIS,"(1, 5)"
92,0.1055059324628369,20,all,LAIS,"(0.25, 1)"
93,0.14567247530895694,20,all,LAIS,"(0.5, 1)"
94,0.11424262545631995,20,all,LAIS,"(1, 3)"
95,0.12851108044541254,20,all,LAIS,"(1, 5)"
96,4.388771372376716,40,-,HAM,"(0.25, 1)"
97,3.371564369215343,40,-,HAM,"(0.5, 1)"
98,0.7333357422423991,40,-,HAM,"(1, 3)"
99,3.8882407230208,40,-,HAM,"(1, 5)"
100,0.07843963391798772,20,spatial,LAIS,"(0.25, 1)"
101,0.19093483310163112,20,spatial,LAIS,"(0.5, 1)"
102,0.14200807846776758,20,spatial,LAIS,"(1, 3)"
103,0.09565523137326357,20,spatial,LAIS,"(1, 5)"
104,1.7515722730648249,20,temporal,LAIS,"(0.25, 1)"
105,0.8508476748738614,20,temporal,LAIS,"(0.5, 1)"
106,2.453363359662301,20,temporal,LAIS,"(1, 3)"
107,0.6236473049026696,20,temporal,LAIS,"(1, 5)"
108,0.07488875877666586,20,all,LAIS,"(0.25, 1)"
109,0.1928387142856736,20,all,LAIS,"(0.5, 1)"
110,0.10906565892043917,20,all,LAIS,"(1, 3)"
111,0.11452005508225455,20,all,LAIS,"(1, 5)"
112,2.3413987058144268,40,-,HAM,"(0.25, 1)"
113,3.1188401118163847,40,-,HAM,"(0.5, 1)"
114,0.5710394485884944,40,-,HAM,"(1, 3)"
115,4.606726382720355,40,-,HAM,"(1, 5)"
116,0.20635300329648096,20,spatial,LAIS,"(0.25, 1)"
117,0.0950291473635012,20,spatial,LAIS,"(0.5, 1)"
118,0.17179464904098302,20,spatial,LAIS,"(1, 3)"
119,0.18931444747223294,20,spatial,LAIS,"(1, 5)"
120,1.5778881263542632,20,temporal,LAIS,"(0.25, 1)"
121,0.8569678119778119,20,temporal,LAIS,"(0.5, 1)"
