,Errors,Epochs,Denominator,Algorithm,Parameters
0,1.1528367306070897,80,-,HAM,"(0.25, 1)"
1,2.1807824855439253,80,-,HAM,"(0.5, 1)"
2,0.33673970926092783,80,-,HAM,"(1, 3)"
3,2.649363104375857,80,-,HAM,"(1, 5)"
4,0.17742478938988654,40,spatial,LAIS,"(0.25, 1)"
5,0.1756946671240093,40,spatial,LAIS,"(0.5, 1)"
6,0.11568533519911857,40,spatial,LAIS,"(1, 3)"
7,0.16272812808462594,40,spatial,LAIS,"(1, 5)"
8,1.09850988250049,40,temporal,LAIS,"(0.25, 1)"
9,1.0257366024150532,40,temporal,LAIS,"(0.5, 1)"
10,0.5668167133235653,40,temporal,LAIS,"(1, 3)"
11,0.2412967947122874,40,temporal,LAIS,"(1, 5)"
12,0.08568104229881301,40,all,LAIS,"(0.25, 1)"
13,0.13519662486033682,40,all,LAIS,"(0.5, 1)"
14,0.20355659774477006,40,all,LAIS,"(1, 3)"
15,0.1400269828787041,40,all,LAIS,"(1, 5)"
16,2.832952731814608,80,-,HAM,"(0.25, 1)"
17,1.6150726046215165,80,-,HAM,"(0.5, 1)"
18,0.3898764454078557,80,-,HAM,"(1, 3)"
19,1.8285450675556651,80,-,HAM,"(1, 5)"
20,0.37148684704226576,40,spatial,LAIS,"(0.25, 1)"
21,0.3850143726553946,40,spatial,LAIS,"(0.5, 1)"
22,0.10180450507296576,40,spatial,LAIS,"(1, 3)"
23,0.22596786765075044,40,spatial,LAIS,"(1, 5)"
24,2.235310442517892,40,temporal,LAIS,"(0.25, 1)"
25,0.3836421013720453,40,temporal,LAIS,"(0.5, 1)"
26,0.4618134372435655,40,temporal,LAIS,"(1, 3)"
27,0.34197288886721944,40,temporal,LAIS,"(1, 5)"
28,0.18135673457617613,40,all,LAIS,"(0.25, 1)"
29,0.17106192562046854,40,all,LAIS,"(0.5, 1)"
30,0.18603214786700464,40,all,LAIS,"(1, 3)"
31,0.08973434044737556,40,all,LAIS,"(1, 5)"
32,2.5652362141757346,80,-,HAM,"(0.25, 1)"
33,1.7140117404303832,80,-,HAM,"(0.5, 1)"
34,0.35875523491909816,80,-,HAM,"(1, 3)"
35,4.1355443367296685,80,-,HAM,"(1, 5)"
36,0.12493010210242934,40,spatial,LAIS,"(0.25, 1)"
37,0.14363018128848987,40,spatial,LAIS,"(0.5, 1)"
38,0.24557534069205306,40,spatial,LAIS,"(1, 3)"
39,0.08712201977872057,40,spatial,LAIS,"(1, 5)"
40,1.0255146379401978,40,temporal,LAIS,"(0.25, 1)"
41,1.1612904121086904,40,temporal,LAIS,"(0.5, 1)"
42,0.4776869271914427,40,temporal,LAIS,"(1, 3)"
43,0.5803825163615101,40,temporal,LAIS,"(1, 5)"
44,0.09014501615009922,40,all,LAIS,"(0.25, 1)"
45,0.09473610289593393,40,all,LAIS,"(0.5, 1)"
46,0.02259385577742019,40,all,LAIS,"(1, 3)"
47,0.11564016403050074,40,all,LAIS,"(1, 5)"
48,2.156420317044575,80,-,HAM,"(0.25, 1)"
49,0.7935747707238676,80,-,HAM,"(0.5, 1)"
50,0.4091036383860532,80,-,HAM,"(1, 3)"
51,2.5659357215532204,80,-,HAM,"(1, 5)"
52,0.17081276736835654,40,spatial,LAIS,"(0.25, 1)"
53,0.150006997464801,40,spatial,LAIS,"(0.5, 1)"
54,0.18469551584549268,40,spatial,LAIS,"(1, 3)"
55,0.16995318109321986,40,spatial,LAIS,"(1, 5)"
56,1.000431583783948,40,temporal,LAIS,"(0.25, 1)"
57,1.2211429933741555,40,temporal,LAIS,"(0.5, 1)"
58,0.8745364383735772,40,temporal,LAIS,"(1, 3)"
59,0.4849851227722027,40,temporal,LAIS,"(1, 5)"
60,0.1933562031056602,40,all,LAIS,"(0.25, 1)"
61,0.07669225950982787,40,all,LAIS,"(0.5, 1)"
62,0.11573096854090092,40,all,LAIS,"(1, 3)"
63,0.14186426666057325,40,all,LAIS,"(1, 5)"
64,2.2922861194267137,80,-,HAM,"(0.25, 1)"
65,1.660099907322815,80,-,HAM,"(0.5, 1)"
66,0.4271537569489021,80,-,HAM,"(1, 3)"
67,2.0808205481698265,80,-,HAM,"(1, 5)"
68,0.1694573650815407,40,spatial,LAIS,"(0.25, 1)"
69,0.2550156533271246,40,spatial,LAIS,"(0.5, 1)"
70,0.12567763246181685,40,spatial,LAIS,"(1, 3)"
71,0.1946313957816232,40,spatial,LAIS,"(1, 5)"
72,0.7492225963953556,40,temporal,LAIS,"(0.25, 1)"
73,2.361127537216334,40,temporal,LAIS,"(0.5, 1)"
74,0.8610319874669446,40,temporal,LAIS,"(1, 3)"
75,0.4734409800530905,40,temporal,LAIS,"(1, 5)"
76,0.12837767181470658,40,all,LAIS,"(0.25, 1)"
77,0.1405462800170977,40,all,LAIS,"(0.5, 1)"
78,0.05512145349014781,40,all,LAIS,"(1, 3)"
79,0.0829111329613585,40,all,LAIS,"(1, 5)"
80,2.389186736240089,80,-,HAM,"(0.25, 1)"
81,1.5112250887052423,80,-,HAM,"(0.5, 1)"
82,0.4324738990861471,80,-,HAM,"(1, 3)"
83,1.258873888183366,80,-,HAM,"(1, 5)"
84,0.23592162597693064,40,spatial,LAIS,"(0.25, 1)"
85,0.1258807468190581,40,spatial,LAIS,"(0.5, 1)"
86,0.16847503434805308,40,spatial,LAIS,"(1, 3)"
87,0.06149841485524896,40,spatial,LAIS,"(1, 5)"
88,0.6786592570335825,40,temporal,LAIS,"(0.25, 1)"
89,0.7570193602705896,40,temporal,LAIS,"(0.5, 1)"
90,0.3891808332122328,40,temporal,LAIS,"(1, 3)"
91,0.3062232751406734,40,temporal,LAIS,"(1, 5)"
92,0.13132503421990888,40,all,LAIS,"(0.25, 1)"
93,0.08302673567386618,40,all,LAIS,"(0.5, 1)"
94,0.13739944814717925,40,all,LAIS,"(1, 3)"
95,0.0872762637239786,40,all,LAIS,"(1, 5)"
