Errors,Epochs,Denominator,Algorithm,Parameters,Clusters
0.24996690240093056,12,compression,LAIS,"(0.25, 1)",50
0.08848522764145335,12,compression,LAIS,"(0.25, 1)",200
0.21558010788950305,12,compression,LAIS,"(0.25, 1)",3
0.35349100958480534,12,compression,LAIS,"(0.25, 1)",21
0.2348458527803922,12,compression,LAIS,"(0.25, 1)",50
0.25202078313868204,12,compression,LAIS,"(0.25, 1)",200
0.16509985099299768,12,compression,LAIS,"(0.25, 1)",3
0.31893624657130426,12,compression,LAIS,"(0.25, 1)",21
0.20347016709314314,12,compression,LAIS,"(0.25, 1)",50
0.10694348924744257,12,compression,LAIS,"(0.25, 1)",200
0.19816007601711902,12,compression,LAIS,"(0.25, 1)",3
0.22869469275030047,12,compression,LAIS,"(0.25, 1)",21
0.28310112356018313,12,compression,LAIS,"(0.25, 1)",50
0.1131657663160365,12,compression,LAIS,"(0.25, 1)",200
0.19271886893552267,12,compression,LAIS,"(0.25, 1)",3
0.08846861179060425,12,compression,LAIS,"(0.25, 1)",21
0.1633870235451631,12,compression,LAIS,"(0.25, 1)",50
0.2204291302834565,12,compression,LAIS,"(0.25, 1)",200
0.19973602934296156,12,compression,LAIS,"(0.25, 1)",3
0.1763745697024243,12,compression,LAIS,"(0.25, 1)",21
0.2440831309668218,12,compression,LAIS,"(0.25, 1)",50
0.09003685027324985,12,compression,LAIS,"(0.25, 1)",200
0.2272451828348756,12,compression,LAIS,"(0.25, 1)",3
0.42490101223892596,12,compression,LAIS,"(0.25, 1)",21
0.215528427288396,12,compression,LAIS,"(0.25, 1)",50
0.3218207050039211,12,compression,LAIS,"(0.25, 1)",200
0.10382814687525177,12,compression,LAIS,"(0.25, 1)",3
0.1380818495373805,12,compression,LAIS,"(0.25, 1)",21
0.20710344289739774,12,compression,LAIS,"(0.25, 1)",50
0.28261147940664877,12,compression,LAIS,"(0.25, 1)",200
0.24115760220395593,12,compression,LAIS,"(0.25, 1)",3
0.3700649479255563,12,compression,LAIS,"(0.25, 1)",21
0.15809832963147546,12,compression,LAIS,"(0.25, 1)",50
0.14053841493865465,12,compression,LAIS,"(0.25, 1)",200
0.31819911909449705,12,compression,LAIS,"(0.25, 1)",3
0.144929520715723,12,compression,LAIS,"(0.25, 1)",21
0.11676900712922263,12,compression,LAIS,"(0.25, 1)",50
0.07022404981549797,12,compression,LAIS,"(0.25, 1)",200
0.19699115152072735,12,compression,LAIS,"(0.25, 1)",3
0.260215940204606,12,compression,LAIS,"(0.25, 1)",21
0.1298085444833129,12,compression,LAIS,"(0.25, 1)",50
0.20824762095652724,12,compression,LAIS,"(0.25, 1)",200
0.1615532974318478,12,compression,LAIS,"(0.25, 1)",3
0.08218246890720322,12,compression,LAIS,"(0.25, 1)",21
0.20275507153275987,12,compression,LAIS,"(0.25, 1)",50
0.05507633746337115,12,compression,LAIS,"(0.25, 1)",200
0.22586412496173608,12,compression,LAIS,"(0.25, 1)",3
0.09872630436927246,12,compression,LAIS,"(0.25, 1)",21
0.2258762331782725,12,compression,LAIS,"(0.25, 1)",50
0.33899646847656706,12,compression,LAIS,"(0.25, 1)",200
0.32503867140195786,12,compression,LAIS,"(0.25, 1)",3
0.15240389000260596,12,compression,LAIS,"(0.25, 1)",21
0.23440169185761928,12,compression,LAIS,"(0.25, 1)",50
0.22102464264858462,12,compression,LAIS,"(0.25, 1)",200
0.2767431185229632,12,compression,LAIS,"(0.25, 1)",3
0.18059786372261524,12,compression,LAIS,"(0.25, 1)",21
0.18540069277814544,12,compression,LAIS,"(0.25, 1)",50
0.21785860372662005,12,compression,LAIS,"(0.25, 1)",200
0.2686180072117777,12,compression,LAIS,"(0.25, 1)",3
0.25874097294982307,12,compression,LAIS,"(0.25, 1)",21
0.20367238558714185,12,compression,LAIS,"(0.25, 1)",50
0.17872285577395494,12,compression,LAIS,"(0.25, 1)",200
0.194854207711034,12,compression,LAIS,"(0.25, 1)",3
0.11313139174342883,12,compression,LAIS,"(0.25, 1)",21
0.23628352804983122,12,compression,LAIS,"(0.25, 1)",50
0.0693936383301196,12,compression,LAIS,"(0.25, 1)",200
0.21676240621975537,12,compression,LAIS,"(0.25, 1)",3
0.20665429328298246,12,compression,LAIS,"(0.25, 1)",21
0.22703454105401427,12,compression,LAIS,"(0.25, 1)",50
0.16822542069082125,12,compression,LAIS,"(0.25, 1)",200
0.2597504984422932,12,compression,LAIS,"(0.25, 1)",3
0.2326363727843069,12,compression,LAIS,"(0.25, 1)",21
0.2246236663303745,12,compression,LAIS,"(0.25, 1)",50
0.07854047308001126,12,compression,LAIS,"(0.25, 1)",200
0.47562521588433204,12,compression,LAIS,"(0.25, 1)",3
0.12670242455618475,12,compression,LAIS,"(0.25, 1)",21
0.20797493470490447,12,compression,LAIS,"(0.25, 1)",50
0.21203720577093316,12,compression,LAIS,"(0.25, 1)",200
0.17653829281212013,12,compression,LAIS,"(0.25, 1)",3
0.2860418603395821,12,compression,LAIS,"(0.25, 1)",21
0.24632218880137685,12,compression,LAIS,"(0.25, 1)",50
0.08739201018853784,12,compression,LAIS,"(0.25, 1)",200
0.28267213792818413,12,compression,LAIS,"(0.25, 1)",3
0.06318759902159617,12,compression,LAIS,"(0.25, 1)",21
0.08828328581680914,12,compression,LAIS,"(0.25, 1)",50
0.0639481608167896,12,compression,LAIS,"(0.25, 1)",200
0.1366867237436704,12,compression,LAIS,"(0.25, 1)",3
0.1778878838571728,12,compression,LAIS,"(0.25, 1)",21
0.2979343808664531,12,compression,LAIS,"(0.25, 1)",50
0.2539674417911637,12,compression,LAIS,"(0.25, 1)",200
0.22322513583754972,12,compression,LAIS,"(0.25, 1)",3
0.14367006057217022,12,compression,LAIS,"(0.25, 1)",21
0.2521443143549688,12,compression,LAIS,"(0.25, 1)",50
