Errors,Epochs,Denominator,Algorithm,Parameters,Clusters
0.07470527222342818,120,compression,LAIS,"(0.25, 1)",3
0.23776943387196026,120,compression,LAIS,"(0.25, 1)",5
0.18335610093601315,120,compression,LAIS,"(0.25, 1)",11
0.07919848484856491,120,compression,LAIS,"(0.25, 1)",21
0.23770136446198156,120,compression,LAIS,"(0.25, 1)",50
0.19423708634345,120,compression,LAIS,"(0.25, 1)",200
0.20809256335535825,120,compression,LAIS,"(0.25, 1)",3
0.1622244888326289,120,compression,LAIS,"(0.25, 1)",5
0.06487148628291614,120,compression,LAIS,"(0.25, 1)",11
0.11258601721231129,120,compression,LAIS,"(0.25, 1)",21
0.1769252523169278,120,compression,LAIS,"(0.25, 1)",50
0.16144727662608468,120,compression,LAIS,"(0.25, 1)",200
0.24975203113850517,120,compression,LAIS,"(0.25, 1)",3
0.19492828013278715,120,compression,LAIS,"(0.25, 1)",5
0.16803479109688446,120,compression,LAIS,"(0.25, 1)",11
0.15068102234391395,120,compression,LAIS,"(0.25, 1)",21
0.24345265654288664,120,compression,LAIS,"(0.25, 1)",50
0.13897024868925043,120,compression,LAIS,"(0.25, 1)",200
0.17565674520803115,120,compression,LAIS,"(0.25, 1)",3
0.1211538140690731,120,compression,LAIS,"(0.25, 1)",5
0.08954696315055624,120,compression,LAIS,"(0.25, 1)",11
0.13988602433484842,120,compression,LAIS,"(0.25, 1)",21
0.09872075799530741,120,compression,LAIS,"(0.25, 1)",50
0.12471751341116089,120,compression,LAIS,"(0.25, 1)",200
0.3146577030090681,120,compression,LAIS,"(0.25, 1)",3
0.8753248017744892,120,compression,LAIS,"(0.25, 1)",5
0.18407282940832248,120,compression,LAIS,"(0.25, 1)",11
0.22407138578659042,120,compression,LAIS,"(0.25, 1)",21
0.21492044272173563,120,compression,LAIS,"(0.25, 1)",50
0.2887487044259455,120,compression,LAIS,"(0.25, 1)",200
0.06168270695549749,120,compression,LAIS,"(0.25, 1)",3
0.09279471234443575,120,compression,LAIS,"(0.25, 1)",5
0.14817833918649387,120,compression,LAIS,"(0.25, 1)",11
0.1559123769575334,120,compression,LAIS,"(0.25, 1)",21
0.09906310571999159,120,compression,LAIS,"(0.25, 1)",50
0.09275159670233797,120,compression,LAIS,"(0.25, 1)",200
0.20056886186538794,120,compression,LAIS,"(0.25, 1)",3
0.22443584685241666,120,compression,LAIS,"(0.25, 1)",5
0.09726387239081688,120,compression,LAIS,"(0.25, 1)",11
0.17392991060531188,120,compression,LAIS,"(0.25, 1)",21
0.2033440746311622,120,compression,LAIS,"(0.25, 1)",50
0.25864412272838677,120,compression,LAIS,"(0.25, 1)",200
0.18369342998333407,120,compression,LAIS,"(0.25, 1)",3
0.1768365532183421,120,compression,LAIS,"(0.25, 1)",5
0.2757900580612467,120,compression,LAIS,"(0.25, 1)",11
0.12182383207350896,120,compression,LAIS,"(0.25, 1)",21
0.1605384047380817,120,compression,LAIS,"(0.25, 1)",50
0.23258356524637397,120,compression,LAIS,"(0.25, 1)",200
0.14307434377582545,120,compression,LAIS,"(0.25, 1)",3
0.3025757036860634,120,compression,LAIS,"(0.25, 1)",5
0.12303136365269389,120,compression,LAIS,"(0.25, 1)",11
0.32301775374692243,120,compression,LAIS,"(0.25, 1)",21
0.2951437254579208,120,compression,LAIS,"(0.25, 1)",50
0.11133291150764754,120,compression,LAIS,"(0.25, 1)",200
0.1988799482174419,120,compression,LAIS,"(0.25, 1)",3
0.8336099591474205,120,compression,LAIS,"(0.25, 1)",5
0.29545864545806066,120,compression,LAIS,"(0.25, 1)",11
0.040960059232812984,120,compression,LAIS,"(0.25, 1)",21
0.14208644129757872,120,compression,LAIS,"(0.25, 1)",50
0.1258380574826236,120,compression,LAIS,"(0.25, 1)",200
0.17664652680075718,120,compression,LAIS,"(0.25, 1)",3
0.12735390265814733,120,compression,LAIS,"(0.25, 1)",5
