Errors,Epochs,Denominator,Algorithm,Parameters,Clusters
0.1359956954578733,300,compression,LAIS,"(0.25, 1)",3
0.08765797494053311,300,compression,LAIS,"(0.25, 1)",21
0.34115593680538003,300,compression,LAIS,"(0.25, 1)",50
0.3407834249233414,300,compression,LAIS,"(0.25, 1)",200
0.24053486920511666,300,compression,LAIS,"(0.25, 1)",3
0.12101989916231268,300,compression,LAIS,"(0.25, 1)",21
0.7447220472835718,300,compression,LAIS,"(0.25, 1)",50
0.15210598237533182,300,compression,LAIS,"(0.25, 1)",200
0.28777486441238775,300,compression,LAIS,"(0.25, 1)",3
0.21946261122228522,300,compression,LAIS,"(0.25, 1)",21
0.43228047807181696,300,compression,LAIS,"(0.25, 1)",50
0.30618237773096596,300,compression,LAIS,"(0.25, 1)",200
0.3207099156454292,300,compression,LAIS,"(0.25, 1)",3
0.19405722517134788,300,compression,LAIS,"(0.25, 1)",21
0.193341367760787,300,compression,LAIS,"(0.25, 1)",50
0.2003303457865051,300,compression,LAIS,"(0.25, 1)",200
0.23934200327796873,300,compression,LAIS,"(0.25, 1)",3
0.3150719136965943,300,compression,LAIS,"(0.25, 1)",21
0.3426919894640397,300,compression,LAIS,"(0.25, 1)",50
0.1435013672537408,300,compression,LAIS,"(0.25, 1)",200
0.14049921826466188,300,compression,LAIS,"(0.25, 1)",3
0.18855782716869815,300,compression,LAIS,"(0.25, 1)",21
0.12693258790112036,300,compression,LAIS,"(0.25, 1)",50
0.0952334948371358,300,compression,LAIS,"(0.25, 1)",200
0.2519489070368731,300,compression,LAIS,"(0.25, 1)",3
0.13649153999626576,300,compression,LAIS,"(0.25, 1)",21
0.35209562130891026,300,compression,LAIS,"(0.25, 1)",50
0.17445736969718237,300,compression,LAIS,"(0.25, 1)",200
0.14595588865404782,300,compression,LAIS,"(0.25, 1)",3
0.240597805050324,300,compression,LAIS,"(0.25, 1)",21
0.13739416165337334,300,compression,LAIS,"(0.25, 1)",50
0.17743436638415636,300,compression,LAIS,"(0.25, 1)",200
0.17913809531817554,300,compression,LAIS,"(0.25, 1)",3
0.4160066658658259,300,compression,LAIS,"(0.25, 1)",21
0.12249722759567247,300,compression,LAIS,"(0.25, 1)",50
0.6322913773979579,300,compression,LAIS,"(0.25, 1)",200
0.33064407740776514,300,compression,LAIS,"(0.25, 1)",3
0.14730399172345982,300,compression,LAIS,"(0.25, 1)",21
0.21191910953265308,300,compression,LAIS,"(0.25, 1)",50
0.07472594398073502,300,compression,LAIS,"(0.25, 1)",200
0.15309287109951947,300,compression,LAIS,"(0.25, 1)",3
0.17866389537875685,300,compression,LAIS,"(0.25, 1)",21
0.07046271629324763,300,compression,LAIS,"(0.25, 1)",50
0.10092883694580457,300,compression,LAIS,"(0.25, 1)",200
0.21372071866711856,300,compression,LAIS,"(0.25, 1)",3
0.2643045701796639,300,compression,LAIS,"(0.25, 1)",21
0.2271753309275016,300,compression,LAIS,"(0.25, 1)",50
0.130664038255156,300,compression,LAIS,"(0.25, 1)",200
0.4740258497543966,300,compression,LAIS,"(0.25, 1)",3
0.1320223746164996,300,compression,LAIS,"(0.25, 1)",21
0.05426859926320789,300,compression,LAIS,"(0.25, 1)",50
0.1526728123057318,300,compression,LAIS,"(0.25, 1)",200
0.21055754648039424,300,compression,LAIS,"(0.25, 1)",3
0.11126426208398046,300,compression,LAIS,"(0.25, 1)",21
0.149535298259245,300,compression,LAIS,"(0.25, 1)",50
0.242213335253508,300,compression,LAIS,"(0.25, 1)",200
0.22302876121299325,300,compression,LAIS,"(0.25, 1)",3
0.42838812721750125,300,compression,LAIS,"(0.25, 1)",21
0.24573575597624964,300,compression,LAIS,"(0.25, 1)",50
0.1812688003806792,300,compression,LAIS,"(0.25, 1)",200
0.13299809929302603,300,compression,LAIS,"(0.25, 1)",3
0.13108940261045393,300,compression,LAIS,"(0.25, 1)",21
0.3523620124493342,300,compression,LAIS,"(0.25, 1)",50
0.15662330828017224,300,compression,LAIS,"(0.25, 1)",200
0.29942159115016026,300,compression,LAIS,"(0.25, 1)",3
0.2760266668337209,300,compression,LAIS,"(0.25, 1)",21
0.08698329492364443,300,compression,LAIS,"(0.25, 1)",50
0.08613886858743522,300,compression,LAIS,"(0.25, 1)",200
0.1268089015395811,300,compression,LAIS,"(0.25, 1)",3
0.11741795781005297,300,compression,LAIS,"(0.25, 1)",21
0.05329773213834277,300,compression,LAIS,"(0.25, 1)",50
0.25931837323747764,300,compression,LAIS,"(0.25, 1)",200
1.6081371543924967,300,compression,LAIS,"(0.25, 1)",3
0.13606273454807258,300,compression,LAIS,"(0.25, 1)",21
0.43404705704229907,300,compression,LAIS,"(0.25, 1)",50
0.01449950724940936,300,compression,LAIS,"(0.25, 1)",200
0.18901295234055956,300,compression,LAIS,"(0.25, 1)",3
0.4227437043021414,300,compression,LAIS,"(0.25, 1)",21
0.19033753231647083,300,compression,LAIS,"(0.25, 1)",50
0.1676736053045524,300,compression,LAIS,"(0.25, 1)",200
0.1803893474401904,300,compression,LAIS,"(0.25, 1)",3
0.11272360886100455,300,compression,LAIS,"(0.25, 1)",21
0.08232317890558113,300,compression,LAIS,"(0.25, 1)",50
0.09098912491913143,300,compression,LAIS,"(0.25, 1)",200
0.12398875678297197,300,compression,LAIS,"(0.25, 1)",3
0.2002741727782124,300,compression,LAIS,"(0.25, 1)",21
0.17584440310306965,300,compression,LAIS,"(0.25, 1)",50
0.1879247441987404,300,compression,LAIS,"(0.25, 1)",200
0.1559061926224193,300,compression,LAIS,"(0.25, 1)",3
0.1488953298470296,300,compression,LAIS,"(0.25, 1)",21
0.15392361782536615,300,compression,LAIS,"(0.25, 1)",50
0.08055349563336311,300,compression,LAIS,"(0.25, 1)",200
0.10879278397533385,300,compression,LAIS,"(0.25, 1)",3
0.12965750724005565,300,compression,LAIS,"(0.25, 1)",21
0.7937757989393202,300,compression,LAIS,"(0.25, 1)",50
0.0770515693592412,300,compression,LAIS,"(0.25, 1)",200
0.1261932174587225,300,compression,LAIS,"(0.25, 1)",3
0.2257298328901462,300,compression,LAIS,"(0.25, 1)",21
0.10935871201104694,300,compression,LAIS,"(0.25, 1)",50
0.0946381569008626,300,compression,LAIS,"(0.25, 1)",200
0.3539257160942056,300,compression,LAIS,"(0.25, 1)",3
0.11255072427790322,300,compression,LAIS,"(0.25, 1)",21
0.10674095007124136,300,compression,LAIS,"(0.25, 1)",50
0.24697650346372244,300,compression,LAIS,"(0.25, 1)",200
0.19860844295796554,300,compression,LAIS,"(0.25, 1)",3
0.16194067243044322,300,compression,LAIS,"(0.25, 1)",21
0.11205892198254416,300,compression,LAIS,"(0.25, 1)",50
0.18395894836129273,300,compression,LAIS,"(0.25, 1)",200
0.2292599969899815,300,compression,LAIS,"(0.25, 1)",3
0.14265747103321838,300,compression,LAIS,"(0.25, 1)",21
0.11063735666793044,300,compression,LAIS,"(0.25, 1)",50
0.2173063850035557,300,compression,LAIS,"(0.25, 1)",200
0.18577979407382259,300,compression,LAIS,"(0.25, 1)",3
0.10326684349618476,300,compression,LAIS,"(0.25, 1)",21
0.21883342201564426,300,compression,LAIS,"(0.25, 1)",50
0.04975379616490829,300,compression,LAIS,"(0.25, 1)",200
0.14466559186086317,300,compression,LAIS,"(0.25, 1)",3
0.2743078704048608,300,compression,LAIS,"(0.25, 1)",21
0.2515800743394593,300,compression,LAIS,"(0.25, 1)",50
0.12208592870919077,300,compression,LAIS,"(0.25, 1)",200
0.2442468324481295,300,compression,LAIS,"(0.25, 1)",3
0.1836228234152848,300,compression,LAIS,"(0.25, 1)",21
0.2371344506162135,300,compression,LAIS,"(0.25, 1)",50
0.2034396509923428,300,compression,LAIS,"(0.25, 1)",200
0.1444214978304293,300,compression,LAIS,"(0.25, 1)",3
0.21996131424840693,300,compression,LAIS,"(0.25, 1)",21
0.16807504816480554,300,compression,LAIS,"(0.25, 1)",50
0.3404304392468629,300,compression,LAIS,"(0.25, 1)",200
0.16490904732562087,300,compression,LAIS,"(0.25, 1)",3
0.1906558938055877,300,compression,LAIS,"(0.25, 1)",21
0.2226470272060233,300,compression,LAIS,"(0.25, 1)",50
0.10439562248287464,300,compression,LAIS,"(0.25, 1)",200
0.1248592310872528,300,compression,LAIS,"(0.25, 1)",3
0.16558063397949135,300,compression,LAIS,"(0.25, 1)",21
0.10623955738494648,300,compression,LAIS,"(0.25, 1)",50
0.12399968326158375,300,compression,LAIS,"(0.25, 1)",200
0.1273011545467616,300,compression,LAIS,"(0.25, 1)",3
1.4753170169286345,300,compression,LAIS,"(0.25, 1)",21
0.09502948036438266,300,compression,LAIS,"(0.25, 1)",50
1.0379809540734084,300,compression,LAIS,"(0.25, 1)",200
0.5383414083616731,300,compression,LAIS,"(0.25, 1)",3
0.38411120570717305,300,compression,LAIS,"(0.25, 1)",21
0.2270336061881854,300,compression,LAIS,"(0.25, 1)",50
0.23142523271155202,300,compression,LAIS,"(0.25, 1)",200
0.18900470340835723,300,compression,LAIS,"(0.25, 1)",3
0.1990360164219799,300,compression,LAIS,"(0.25, 1)",21
0.14116337970362283,300,compression,LAIS,"(0.25, 1)",50
0.20156936848691903,300,compression,LAIS,"(0.25, 1)",200
0.11102721968052234,300,compression,LAIS,"(0.25, 1)",3
0.18167618583195186,300,compression,LAIS,"(0.25, 1)",21
0.1516345569684307,300,compression,LAIS,"(0.25, 1)",50
0.21029734329746344,300,compression,LAIS,"(0.25, 1)",200
0.22563260936646357,300,compression,LAIS,"(0.25, 1)",3
0.12258026287860493,300,compression,LAIS,"(0.25, 1)",21
0.15698079043295202,300,compression,LAIS,"(0.25, 1)",50
0.08385540338358015,300,compression,LAIS,"(0.25, 1)",200
0.2047508009073348,300,compression,LAIS,"(0.25, 1)",3
0.28721414333899975,300,compression,LAIS,"(0.25, 1)",21
0.15462594303979743,300,compression,LAIS,"(0.25, 1)",50
0.1725465746990947,300,compression,LAIS,"(0.25, 1)",200
0.19451648056561158,300,compression,LAIS,"(0.25, 1)",3
0.24433611777483266,300,compression,LAIS,"(0.25, 1)",21
0.27183899085983493,300,compression,LAIS,"(0.25, 1)",50
0.1986504616565779,300,compression,LAIS,"(0.25, 1)",200
0.3745706323873547,300,compression,LAIS,"(0.25, 1)",3
0.2830512222058037,300,compression,LAIS,"(0.25, 1)",21
0.1287491843634354,300,compression,LAIS,"(0.25, 1)",50
0.13244281534459773,300,compression,LAIS,"(0.25, 1)",200
0.3540492546704061,300,compression,LAIS,"(0.25, 1)",3
0.14379549295922187,300,compression,LAIS,"(0.25, 1)",21
1.0774999384769324,300,compression,LAIS,"(0.25, 1)",50
0.14766126608492272,300,compression,LAIS,"(0.25, 1)",200
0.2167269844181527,300,compression,LAIS,"(0.25, 1)",3
0.08188649974479256,300,compression,LAIS,"(0.25, 1)",21
0.09366014071096129,300,compression,LAIS,"(0.25, 1)",50
0.2126597862847766,300,compression,LAIS,"(0.25, 1)",200
0.19085504944099302,300,compression,LAIS,"(0.25, 1)",3
0.3599520757768753,300,compression,LAIS,"(0.25, 1)",21
1.3907630569326848,300,compression,LAIS,"(0.25, 1)",50
0.1213611062700087,300,compression,LAIS,"(0.25, 1)",200
0.2783278834496909,300,compression,LAIS,"(0.25, 1)",3
0.10183474063536493,300,compression,LAIS,"(0.25, 1)",21
0.16327154501691518,300,compression,LAIS,"(0.25, 1)",50
0.2001463986392172,300,compression,LAIS,"(0.25, 1)",200
0.26915142977414197,300,compression,LAIS,"(0.25, 1)",3
0.1788071750480897,300,compression,LAIS,"(0.25, 1)",21
0.12263211054114094,300,compression,LAIS,"(0.25, 1)",50
0.3962096457567026,300,compression,LAIS,"(0.25, 1)",200
0.27325985101539324,300,compression,LAIS,"(0.25, 1)",3
0.29530862940239894,300,compression,LAIS,"(0.25, 1)",21
0.10428943109937103,300,compression,LAIS,"(0.25, 1)",50
0.13099777354429362,300,compression,LAIS,"(0.25, 1)",200
0.22958642806395363,300,compression,LAIS,"(0.25, 1)",3
0.47085085686764155,300,compression,LAIS,"(0.25, 1)",21
0.19769610011931033,300,compression,LAIS,"(0.25, 1)",50
0.26610737884970614,300,compression,LAIS,"(0.25, 1)",200
0.9181918354405904,300,compression,LAIS,"(0.25, 1)",3
0.12188427259771206,300,compression,LAIS,"(0.25, 1)",21
0.25581954886601127,300,compression,LAIS,"(0.25, 1)",50
0.1666207306947697,300,compression,LAIS,"(0.25, 1)",200
0.29608119759850726,300,compression,LAIS,"(0.25, 1)",3
0.2538517586018953,300,compression,LAIS,"(0.25, 1)",21
0.29132999759734823,300,compression,LAIS,"(0.25, 1)",50
0.1353532553883286,300,compression,LAIS,"(0.25, 1)",200
0.26245369523189305,300,compression,LAIS,"(0.25, 1)",3
0.2519700849906542,300,compression,LAIS,"(0.25, 1)",21
0.26714006323960204,300,compression,LAIS,"(0.25, 1)",50
0.2763144367783503,300,compression,LAIS,"(0.25, 1)",200
0.13767821099992253,300,compression,LAIS,"(0.25, 1)",3
0.14827904709705933,300,compression,LAIS,"(0.25, 1)",21
0.24285564686789934,300,compression,LAIS,"(0.25, 1)",50
0.20368217736219923,300,compression,LAIS,"(0.25, 1)",200
0.3528828880969953,300,compression,LAIS,"(0.25, 1)",3
0.2808625439294027,300,compression,LAIS,"(0.25, 1)",21
0.21703252008180907,300,compression,LAIS,"(0.25, 1)",50
0.3232350870552402,300,compression,LAIS,"(0.25, 1)",200
0.33109723638198185,300,compression,LAIS,"(0.25, 1)",3
0.15572707851087833,300,compression,LAIS,"(0.25, 1)",21
0.15678962932551915,300,compression,LAIS,"(0.25, 1)",50
0.18481821118979944,300,compression,LAIS,"(0.25, 1)",200
0.12038723453436014,300,compression,LAIS,"(0.25, 1)",3
0.09500962968586002,300,compression,LAIS,"(0.25, 1)",21
0.14495135411972765,300,compression,LAIS,"(0.25, 1)",50
0.2652476704321414,300,compression,LAIS,"(0.25, 1)",200
0.18906951943246603,300,compression,LAIS,"(0.25, 1)",3
0.10215550447360018,300,compression,LAIS,"(0.25, 1)",21
0.27360382337917455,300,compression,LAIS,"(0.25, 1)",50
0.22049657017438914,300,compression,LAIS,"(0.25, 1)",200
1.3941415011152334,300,compression,LAIS,"(0.25, 1)",3
0.06640972273866659,300,compression,LAIS,"(0.25, 1)",21
0.13547092190571494,300,compression,LAIS,"(0.25, 1)",50
0.1934003856760295,300,compression,LAIS,"(0.25, 1)",200
0.10192238143323236,300,compression,LAIS,"(0.25, 1)",3
0.13879210251080382,300,compression,LAIS,"(0.25, 1)",21
0.06672059628900359,300,compression,LAIS,"(0.25, 1)",50
0.17989640493970707,300,compression,LAIS,"(0.25, 1)",200
0.05296777032054982,300,compression,LAIS,"(0.25, 1)",3
0.1677072096187979,300,compression,LAIS,"(0.25, 1)",21
0.2301920898977349,300,compression,LAIS,"(0.25, 1)",50
0.12604743873608304,300,compression,LAIS,"(0.25, 1)",200
0.06530215612691204,300,compression,LAIS,"(0.25, 1)",3
0.20205186384057408,300,compression,LAIS,"(0.25, 1)",21
0.13659601274042651,300,compression,LAIS,"(0.25, 1)",50
0.06485125055533239,300,compression,LAIS,"(0.25, 1)",200
0.2740526774718456,300,compression,LAIS,"(0.25, 1)",3
0.2288902928753192,300,compression,LAIS,"(0.25, 1)",21
0.2736177134481762,300,compression,LAIS,"(0.25, 1)",50
0.11079757323231973,300,compression,LAIS,"(0.25, 1)",200
0.1476903578870364,300,compression,LAIS,"(0.25, 1)",3
0.06870527327593887,300,compression,LAIS,"(0.25, 1)",21
0.2291055085961135,300,compression,LAIS,"(0.25, 1)",50
0.13743899972263374,300,compression,LAIS,"(0.25, 1)",200
0.08807039490531494,300,compression,LAIS,"(0.25, 1)",3
0.07925323254387431,300,compression,LAIS,"(0.25, 1)",21
0.15823260505011608,300,compression,LAIS,"(0.25, 1)",50
0.07079065321770135,300,compression,LAIS,"(0.25, 1)",200
0.1584305436200985,300,compression,LAIS,"(0.25, 1)",3
0.12788067111767654,300,compression,LAIS,"(0.25, 1)",21
0.210348921553287,300,compression,LAIS,"(0.25, 1)",50
1.6562331103494778,300,compression,LAIS,"(0.25, 1)",200
0.1886506366047107,300,compression,LAIS,"(0.25, 1)",3
0.27463282733204997,300,compression,LAIS,"(0.25, 1)",21
0.10255486605211103,300,compression,LAIS,"(0.25, 1)",50
0.14531836678183868,300,compression,LAIS,"(0.25, 1)",200
0.36163042796619604,300,compression,LAIS,"(0.25, 1)",3
0.13420147036359403,300,compression,LAIS,"(0.25, 1)",21
0.20837588525688427,300,compression,LAIS,"(0.25, 1)",50
0.0907917031707263,300,compression,LAIS,"(0.25, 1)",200
0.2317299615614934,300,compression,LAIS,"(0.25, 1)",3
0.08059952851280405,300,compression,LAIS,"(0.25, 1)",21
0.21773161976883806,300,compression,LAIS,"(0.25, 1)",50
0.11645275368859964,300,compression,LAIS,"(0.25, 1)",200
0.681432737897465,300,compression,LAIS,"(0.25, 1)",3
0.458810248775605,300,compression,LAIS,"(0.25, 1)",21
0.14698539001985905,300,compression,LAIS,"(0.25, 1)",50
0.26370858932547653,300,compression,LAIS,"(0.25, 1)",200
0.3436723989886573,300,compression,LAIS,"(0.25, 1)",3
0.20515924119712955,300,compression,LAIS,"(0.25, 1)",21
0.1906370437604808,300,compression,LAIS,"(0.25, 1)",50
0.11192768498650082,300,compression,LAIS,"(0.25, 1)",200
0.396118387068236,300,compression,LAIS,"(0.25, 1)",3
0.23296982765001953,300,compression,LAIS,"(0.25, 1)",21
0.03583592271630853,300,compression,LAIS,"(0.25, 1)",50
0.09404392804651414,300,compression,LAIS,"(0.25, 1)",200
0.2291977314649256,300,compression,LAIS,"(0.25, 1)",3
0.24076624395053908,300,compression,LAIS,"(0.25, 1)",21
0.05983543615411167,300,compression,LAIS,"(0.25, 1)",50
0.13216638203595682,300,compression,LAIS,"(0.25, 1)",200
0.12901908626152442,300,compression,LAIS,"(0.25, 1)",3
0.10204246085526773,300,compression,LAIS,"(0.25, 1)",21
0.20604400794235875,300,compression,LAIS,"(0.25, 1)",50
0.132415051904814,300,compression,LAIS,"(0.25, 1)",200
0.09023984473892148,300,compression,LAIS,"(0.25, 1)",3
0.2393602326025212,300,compression,LAIS,"(0.25, 1)",21
0.15000253114536494,300,compression,LAIS,"(0.25, 1)",50
0.08340819775470018,300,compression,LAIS,"(0.25, 1)",200
0.4233737551733858,300,compression,LAIS,"(0.25, 1)",3
0.1980169938949398,300,compression,LAIS,"(0.25, 1)",21
0.13258612906236406,300,compression,LAIS,"(0.25, 1)",50
0.11823129351653287,300,compression,LAIS,"(0.25, 1)",200
0.09780324939029676,300,compression,LAIS,"(0.25, 1)",3
0.27713513192597056,300,compression,LAIS,"(0.25, 1)",21
0.20671853777921104,300,compression,LAIS,"(0.25, 1)",50
0.2494505939204293,300,compression,LAIS,"(0.25, 1)",200
0.23845690346996987,300,compression,LAIS,"(0.25, 1)",3
0.13815523315598693,300,compression,LAIS,"(0.25, 1)",21
0.34724857246414176,300,compression,LAIS,"(0.25, 1)",50
0.12413480289779114,300,compression,LAIS,"(0.25, 1)",200
0.2423172003083371,300,compression,LAIS,"(0.25, 1)",3
0.4100982197329223,300,compression,LAIS,"(0.25, 1)",21
0.15339580877236333,300,compression,LAIS,"(0.25, 1)",50
0.12374922987856689,300,compression,LAIS,"(0.25, 1)",200
0.24908454704068744,300,compression,LAIS,"(0.25, 1)",3
0.2209839638344425,300,compression,LAIS,"(0.25, 1)",21
0.2116816681913341,300,compression,LAIS,"(0.25, 1)",50
0.15265559491537933,300,compression,LAIS,"(0.25, 1)",200
0.20221069490320653,300,compression,LAIS,"(0.25, 1)",3
0.12670264258929168,300,compression,LAIS,"(0.25, 1)",21
0.18921756838247009,300,compression,LAIS,"(0.25, 1)",50
0.2963226887742605,300,compression,LAIS,"(0.25, 1)",200
0.2618194426363093,300,compression,LAIS,"(0.25, 1)",3
0.16336318961782967,300,compression,LAIS,"(0.25, 1)",21
0.20355903100783806,300,compression,LAIS,"(0.25, 1)",50
0.07428405553901478,300,compression,LAIS,"(0.25, 1)",200
0.18458244270711344,300,compression,LAIS,"(0.25, 1)",3
0.17297194788304138,300,compression,LAIS,"(0.25, 1)",21
0.13476348750366798,300,compression,LAIS,"(0.25, 1)",50
0.26597240149079593,300,compression,LAIS,"(0.25, 1)",200
0.14821066945831296,300,compression,LAIS,"(0.25, 1)",3
0.18630494189467325,300,compression,LAIS,"(0.25, 1)",21
0.1287538425550608,300,compression,LAIS,"(0.25, 1)",50
0.2073107242682722,300,compression,LAIS,"(0.25, 1)",200
0.2634023346452018,300,compression,LAIS,"(0.25, 1)",3
0.15006874646134957,300,compression,LAIS,"(0.25, 1)",21
0.22758494547197827,300,compression,LAIS,"(0.25, 1)",50
0.19508467289573633,300,compression,LAIS,"(0.25, 1)",200
0.3012337502526326,300,compression,LAIS,"(0.25, 1)",3
0.08981663096795978,300,compression,LAIS,"(0.25, 1)",21
0.22245289954755712,300,compression,LAIS,"(0.25, 1)",50
0.4897785840851574,300,compression,LAIS,"(0.25, 1)",200
0.11618014730483388,300,compression,LAIS,"(0.25, 1)",3
0.16324404950323376,300,compression,LAIS,"(0.25, 1)",21
0.1086384845072389,300,compression,LAIS,"(0.25, 1)",50
0.11047551670676303,300,compression,LAIS,"(0.25, 1)",200
